Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
Connor McDavid,1,2017,20,EDM,C,82,30,70,100,27,26,12.8,26,3,1,6,45,24,1,251,12.0,1733,21:08,29,34,348,458,43.2,mcdavco01
Sidney Crosby,2,2017,29,PIT,C,75,44,45,89,17,24,12.3,30,14,0,5,34,11,0,255,17.3,1491,19:53,27,80,842,906,48.2,crosbsi01
Patrick Kane,3,2017,28,CHI,RW,82,34,55,89,11,32,10.8,27,7,0,5,39,16,0,292,11.6,1754,21:24,15,28,7,44,13.7,kanepa01
Nicklas Bäckström,4,2017,29,WSH,C,82,23,63,86,17,38,9.9,15,8,0,5,36,27,0,162,14.2,1497,18:16,33,45,685,648,51.4,backsni02
Nikita Kucherov,5,2017,23,TBL,RW,74,40,45,85,13,38,12.0,23,17,0,7,30,15,0,246,16.3,1438,19:26,20,30,0,0,,kucheni01
Brad Marchand,6,2017,28,BOS,LW,80,39,46,85,18,81,12.6,27,9,3,8,29,15,2,226,17.3,1555,19:26,35,51,13,23,36.1,marchbr03
Mark Scheifele,7,2017,23,WPG,C,79,32,50,82,18,38,10.3,25,7,0,5,40,8,2,160,20.0,1624,20:34,34,49,635,826,43.5,scheima01
Leon Draisaitl,8,2017,21,EDM,C,82,29,48,77,7,20,9.6,19,10,0,5,31,17,0,172,16.9,1548,18:53,36,41,476,496,49.0,draisle01
Brent Burns,9,2017,31,SJS,D,82,29,47,76,19,40,15.3,21,8,0,6,29,17,1,320,9.1,2039,24:52,142,69,0,0,,burnsbr01
Vladimir Tarasenko,10,2017,25,STL,RW,82,39,36,75,-1,12,10.2,30,9,0,8,23,13,0,286,13.6,1515,18:28,31,50,5,5,50.0,tarasvl01
Artemi Panarin,11,2017,25,CHI,LW,82,31,43,74,18,21,9.4,22,9,0,5,35,8,0,211,14.7,1597,19:28,14,23,2,8,20.0,panarar01
Blake Wheeler,12,2017,30,WPG,RW,82,26,48,74,6,47,8.2,19,5,2,4,31,16,1,259,10.0,1652,20:09,51,100,43,51,45.7,wheelbl01
Ryan Getzlaf,13,2017,31,ANA,C,74,15,58,73,7,49,7.6,7,6,2,3,43,14,1,138,10.9,1559,21:04,88,99,509,503,50.3,getzlry01
Victor Hedman,14,2017,26,TBL,D,79,16,56,72,3,47,12.0,12,4,0,5,27,29,0,166,9.6,1936,24:30,132,93,0,0,,hedmavi01
Evgeni Malkin,15,2017,30,PIT,C,62,33,39,72,18,77,9.9,22,11,0,6,27,12,0,191,17.3,1154,18:37,25,40,365,481,43.1,malkiev01
Tyler Seguin,16,2017,25,DAL,C,82,26,46,72,-15,22,7.5,15,11,0,4,28,18,0,301,8.6,1514,18:28,26,60,401,385,51.0,seguity01
Erik Karlsson,17,2017,26,OTT,D,77,17,54,71,10,28,12.9,13,4,0,5,29,23,2,218,7.8,2066,26:50,201,67,0,0,,karlser01
Phil Kessel,18,2017,29,PIT,RW,82,23,47,70,3,20,7.3,15,8,0,4,25,22,0,229,10.0,1471,17:56,15,12,5,10,33.3,kesseph01
David Pastrňák,19,2017,20,BOS,RW,75,34,36,70,11,34,10.3,24,10,0,6,22,14,0,262,13.0,1349,17:59,32,72,2,1,66.7,pastrda01
Jamie Benn,20,2017,27,DAL,LW,77,26,43,69,-9,66,7.5,13,12,1,4,29,14,0,201,12.9,1492,19:22,47,89,212,200,51.5,bennja01
Mikael Granlund,21,2017,24,MIN,C,81,26,43,69,23,12,8.5,16,7,3,4,29,13,1,177,14.7,1525,18:49,50,50,16,17,48.5,granlmi01
Auston Matthews,22,2017,19,TOR,C,82,40,29,69,2,14,9.7,32,8,0,8,16,13,0,279,14.3,1446,17:38,61,21,530,600,46.9,matthau01
Alex Ovechkin,23,2017,31,WSH,LW,82,33,36,69,6,50,8.7,16,17,0,7,27,9,0,313,10.5,1506,18:22,29,216,0,1,0.0,ovechal01
Joe Pavelski,24,2017,32,SJS,C,81,29,39,68,11,34,8.7,21,7,1,7,24,15,0,233,12.4,1549,19:07,73,130,448,407,52.4,paveljo01
Henrik Zetterberg,25,2017,36,DET,C,82,17,51,68,15,22,7.6,15,2,0,0,40,11,0,195,8.7,1617,19:43,30,58,705,657,51.8,zettehe01
Max Pacioretty,26,2017,28,MTL,LW,81,35,32,67,15,38,9.3,26,8,1,7,26,5,1,268,13.1,1553,19:11,35,63,27,23,54.0,pacioma01
Jeff Carter,27,2017,32,LAK,C,82,32,34,66,2,41,9.0,21,10,1,9,22,12,0,250,12.8,1479,18:02,37,86,735,680,51.9,carteje01
John Tavares,28,2017,26,NYI,C,77,28,38,66,4,38,7.8,20,7,1,3,26,11,1,260,10.8,1572,20:25,20,42,824,804,50.6,tavarjo01
Eric Staal,29,2017,32,MIN,C,82,28,37,65,17,34,8.0,23,4,1,8,24,12,1,211,13.3,1526,18:36,39,42,577,597,49.1,staaler01
