Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
Jamie Benn,1,2015,25,DAL,LW,82,35,52,87,1,64,10.7,23,10,2,6,37,13,2,253,13.8,1636,19:57,50.0,120,298.0,278.0,51.7,bennja01
John Tavares,2,2015,24,NYI,C,82,38,48,86,5,46,11.2,25,13,0,8,29,18,1,278,13.7,1695,20:40,37.0,48,753.0,689.0,52.2,tavarjo01
Sidney Crosby,3,2015,27,PIT,C,77,28,56,84,5,47,10.3,18,10,0,3,35,21,0,237,11.8,1538,19:58,29.0,66,797.0,789.0,50.3,crosbsi01
Alex Ovechkin,4,2015,29,WSH,LW,81,53,28,81,10,58,12.6,28,25,0,11,19,9,0,395,13.4,1646,20:20,32.0,259,2.0,3.0,40.0,ovechal01
Jakub Voráček,5,2015,25,PHI,RW,82,22,59,81,1,78,8.8,11,11,0,3,37,22,0,221,10.0,1525,18:36,28.0,55,6.0,3.0,66.7,voracja01
Nicklas Bäckström,6,2015,27,WSH,C,82,18,60,78,5,40,8.1,15,3,0,3,30,30,0,153,11.8,1683,20:32,52.0,91,862.0,747.0,53.6,backsni02
Tyler Seguin,7,2015,23,DAL,C,71,37,40,77,-1,20,10.2,24,13,0,5,24,16,0,280,13.2,1388,19:33,26.0,63,275.0,236.0,53.8,seguity01
Jiří Hudler,8,2015,31,CGY,C,78,31,45,76,17,14,10.2,25,6,0,5,35,10,0,158,19.6,1405,18:01,14.0,27,21.0,25.0,45.7,hudleji01
Daniel Sedin*,9,2015,34,VAN,LW,82,20,56,76,5,18,8.5,16,4,0,5,35,21,0,226,8.8,1505,18:21,16.0,21,2.0,3.0,40.0,sedinda01
Nick Foligno,10,2015,27,CBJ,LW,79,31,42,73,16,50,9.7,20,11,0,3,27,15,0,182,17.0,1488,18:50,52.0,193,125.0,138.0,47.5,foligni01
Claude Giroux,11,2015,27,PHI,C,81,25,48,73,-3,36,7.9,11,14,0,4,25,23,0,279,9.0,1666,20:34,28.0,110,1063.0,807.0,56.8,giroucl01
Henrik Sedin*,12,2015,34,VAN,C,82,18,55,73,11,22,8.1,13,5,0,0,35,20,0,101,17.8,1526,18:37,24.0,23,708.0,848.0,45.5,sedinhe01
Vladimir Tarasenko,13,2015,23,STL,RW,77,37,36,73,27,31,11.2,29,8,0,6,26,10,0,264,14.0,1357,17:37,18.0,32,0.0,3.0,0.0,tarasvl01
Tyler Johnson,14,2015,24,TBL,C,77,29,43,72,33,24,10.3,21,8,0,6,34,9,0,203,14.3,1327,17:14,35.0,63,508.0,569.0,47.2,johnsty01
Steven Stamkos,15,2015,24,TBL,C,82,43,29,72,2,49,10.1,30,13,0,6,17,12,0,268,16.0,1588,19:22,33.0,87,438.0,466.0,48.5,stamkst01
Ryan Johansen,16,2015,22,CBJ,C,82,26,45,71,-6,40,7.8,17,7,2,0,26,19,0,202,12.9,1599,19:30,33.0,84,850.0,787.0,51.9,johanry01
Ryan Getzlaf,17,2015,29,ANA,C,77,25,45,70,15,62,8.6,22,3,0,6,33,10,2,191,13.1,1548,20:06,95.0,100,632.0,612.0,50.8,getzlry01
Evgeni Malkin,18,2015,28,PIT,C,69,28,42,70,-2,60,8.8,19,9,0,4,25,17,0,212,13.2,1309,18:58,18.0,24,322.0,427.0,43.0,malkiev01
Joe Pavelski,19,2015,30,SJS,C,82,37,33,70,12,29,9.7,18,19,0,5,21,12,0,261,14.2,1650,20:08,82.0,92,604.0,508.0,54.3,paveljo01
Rick Nash,20,2015,30,NYR,LW,79,42,27,69,29,36,11.4,32,6,4,8,20,6,1,304,13.8,1379,17:27,33.0,45,2.0,2.0,50.0,nashri01
Logan Couture,21,2015,25,SJS,C,82,27,40,67,-6,12,7.6,19,6,2,4,22,18,0,263,10.3,1564,19:04,64.0,82,451.0,511.0,46.9,coutulo01
Max Pacioretty,22,2015,26,MTL,LW,80,37,30,67,38,32,10.9,27,7,3,10,24,4,2,302,12.3,1552,19:24,38.0,106,2.0,7.0,22.2,pacioma01
Erik Karlsson,23,2015,24,OTT,D,82,21,45,66,7,42,11.9,15,6,0,3,21,24,0,292,7.2,2235,27:15,89.0,93,0.0,0.0,,karlser01
Jonathan Toews,24,2015,26,CHI,C,81,28,38,66,30,36,9.4,20,6,2,7,26,11,1,192,14.6,1585,19:34,16.0,56,947.0,728.0,56.5,toewsjo01
Henrik Zetterberg,25,2015,34,DET,C,77,17,49,66,-6,32,6.7,13,4,0,3,25,24,0,227,7.5,1472,19:07,26.0,55,541.0,522.0,50.9,zettehe01
Pavel Datsyuk,26,2015,36,DET,C,63,26,39,65,12,8,8.8,18,8,0,5,23,16,0,165,15.8,1200,19:03,28.0,51,601.0,517.0,53.8,datsypa01
Nikita Kucherov,27,2015,21,TBL,RW,82,29,36,65,38,37,9.9,27,2,0,2,23,13,0,191,15.2,1226,14:57,28.0,65,0.0,2.0,0.0,kucheni01
Joe Thornton,28,2015,35,SJS,C,78,16,49,65,-4,30,6.5,12,4,0,0,31,18,0,131,12.2,1437,18:25,24.0,39,535.0,405.0,56.9,thornjo01
Johnny Gaudreau,29,2015,21,CGY,LW,80,24,40,64,11,14,7.8,16,8,0,4,27,13,0,167,14.4,1417,17:43,27.0,14,3.0,5.0,37.5,gaudrjo01
Patrick Kane,30,2015,26,CHI,RW,61,27,37,64,10,10,8.8,21,6,0,5,21,16,0,186,14.5,1211,19:51,14.0,22,3.0,4.0,42.9,kanepa01
Anže Kopitar,31,2015,27,LAK,C,79,16,48,64,-2,10,6.4,10,6,0,4,30,18,0,134,11.9,1532,19:23,45.0,104,736.0,674.0,52.2,kopitan01
Alexander Steen,32,2015,30,STL,LW,74,24,40,64,8,33,7.7,16,8,0,5,24,16,0,223,10.8,1479,19:59,37.0,32,222.0,210.0,51.4,steenal01
Mark Stone,33,2015,22,OTT,RW,80,26,38,64,21,14,8.7,20,5,1,6,30,8,0,157,16.6,1362,17:01,53.0,49,7.0,11.0,38.9,stonema01
Kyle Turris,34,2015,25,OTT,C,82,24,40,64,5,36,7.4,19,4,1,6,28,12,0,215,11.2,1576,19:13,40.0,48,737.0,730.0,50.2,turriky01
Jordan Eberle,35,2015,24,EDM,RW,81,24,39,63,-16,24,6.8,18,6,0,2,24,15,0,183,13.1,1542,19:03,36.0,62,1.0,5.0,16.7,eberljo01
Filip Forsberg,36,2015,20,NSH,C,82,26,37,63,15,24,8.3,20,6,0,6,24,13,0,237,11.0,1421,17:20,28.0,108,3.0,4.0,42.9,forsbfi01
Ondřej Palát,37,2015,23,TBL,LW,75,16,47,63,31,24,7.8,12,3,1,5,38,8,1,139,11.5,1307,17:26,50.0,125,10.0,25.0,28.6,palaton01
Jaden Schwartz,38,2015,22,STL,LW,75,28,35,63,13,16,8.4,20,8,0,4,25,8,2,184,15.2,1368,18:15,46.0,53,69.0,77.0,47.3,schwaja01
Radim Vrbata,39,2015,33,VAN,RW,79,31,32,63,6,20,8.6,19,12,0,7,21,11,0,267,11.6,1312,16:37,25.0,44,5.0,4.0,55.6,vrbatra01
Jeff Carter,40,2015,30,LAK,C,82,28,34,62,7,28,8.0,17,10,1,5,28,5,1,218,12.8,1474,17:58,32.0,74,602.0,577.0,51.1,carteje01
Andrew Ladd,41,2015,29,WPG,LW,81,24,38,62,9,72,7.4,15,9,0,6,27,10,1,224,10.7,1626,20:04,38.0,212,7.0,13.0,35.0,laddan01
Sean Monahan,42,2015,20,CGY,C,81,31,31,62,8,12,7.9,20,10,1,8,21,9,1,191,16.2,1589,19:37,42.0,39,902.0,917.0,49.6,monahse01
Zach Parise,43,2015,30,MIN,LW,74,33,29,62,21,41,9.4,22,11,0,3,24,5,0,259,12.7,1420,19:11,56.0,86,2.0,10.0,16.7,parisza01
Mike Ribeiro,44,2015,34,NSH,C,82,15,47,62,11,52,6.5,14,1,0,3,36,11,0,96,15.6,1537,18:45,19.0,42,582.0,766.0,43.2,ribeimi01
Jason Spezza,45,2015,31,DAL,C,82,17,45,62,-7,28,5.9,13,4,0,1,23,22,0,204,8.3,1412,17:13,26.0,16,682.0,580.0,54.0,spezzja01
Marián Hossa*,46,2015,36,CHI,RW,82,22,39,61,17,32,7.7,15,6,1,2,28,11,0,247,8.9,1521,18:33,26.0,62,4.0,3.0,57.1,hossama01
Phil Kessel,47,2015,27,TOR,RW,82,25,36,61,-34,30,5.9,17,8,0,4,19,17,0,280,8.9,1541,18:48,13.0,18,2.0,3.0,40.0,kesseph01
Blake Wheeler,48,2015,28,WPG,RW,79,26,35,61,26,73,8.4,20,2,4,6,24,10,1,244,10.7,1553,19:40,54.0,128,22.0,26.0,45.8,wheelbl01
Derick Brassard,49,2015,27,NYR,C,80,19,41,60,9,34,6.9,13,6,0,3,29,12,0,168,11.3,1392,17:24,13.0,104,669.0,699.0,48.9,brassde01
Brent Burns,50,2015,29,SJS,D,82,17,43,60,-9,65,9.5,10,7,0,2,26,17,0,245,6.9,1964,23:57,124.0,148,0.0,0.0,,burnsbr01
Scott Hartnell,51,2015,32,CBJ,LW,77,28,32,60,1,100,7.5,20,8,0,2,24,8,0,204,13.7,1332,17:18,38.0,160,7.0,7.0,50.0,hartnsc01
Tomáš Plekanec,52,2015,32,MTL,C,82,26,34,60,8,46,7.5,16,7,3,5,24,9,1,248,10.5,1571,19:09,55.0,47,777.0,771.0,50.2,plekato01
P.K. Subban,53,2015,25,MTL,D,82,15,45,60,21,74,12.4,7,8,0,5,32,13,0,170,8.8,2149,26:12,142.0,97,0.0,0.0,,subbapk01
Jarome Iginla*,54,2015,37,COL,RW,82,29,30,59,0,42,7.4,21,8,0,2,25,5,0,189,15.3,1487,18:08,47.0,99,57.0,71.0,44.5,iginlja01
Gabriel Landeskog,55,2015,22,COL,LW,82,23,36,59,-2,79,6.6,15,8,0,2,27,9,0,214,10.7,1517,18:30,73.0,169,16.0,29.0,35.6,landega01
David Backes,56,2015,30,STL,C,80,26,32,58,7,104,7.2,16,10,0,3,26,6,0,183,14.2,1491,18:38,87.0,227,615.0,507.0,54.8,backeda01
Patrick Marleau,57,2015,35,SJS,LW,82,19,38,57,-17,12,5.1,12,7,0,4,21,17,0,233,8.2,1606,19:35,26.0,83,139.0,182.0,43.3,marlepa01
Ryan Nugent-Hopkins,58,2015,21,EDM,C,76,24,32,56,-12,25,6.2,22,2,0,2,19,12,1,189,12.7,1569,20:38,37.0,92,620.0,727.0,46.0,nugenry01
Tomáš Tatar,59,2015,24,DET,C,82,29,27,56,6,28,7.7,20,9,0,7,17,10,0,211,13.7,1330,16:13,18.0,90,6.0,4.0,60.0,tatarto01
