Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
Nathan MacKinnon,1,2024,28,COL,C,74,47,80,127,33,38,14.9,37,10,0,9,46,34,0,361,13.0,1699,22:57,64,52,551,639,46.3,mackina01
Nikita Kucherov,2,2024,30,TBL,RW,72,42,84,126,8,22,14.0,30,12,0,6,50,34,0,284,14.8,1558,21:39,31,41,2,2,50.0,kucheni01
Connor McDavid,3,2024,27,EDM,C,70,29,96,125,33,30,13.3,21,7,1,5,61,35,0,235,12.3,1507,21:31,37,110,412,396,51.0,mcdavco01
Artemi Panarin,4,2024,32,NYR,LW,74,44,63,107,21,22,12.9,34,10,0,4,34,28,1,264,16.7,1484,20:04,14,17,1,9,10.0,panarar01
David Pastrňák,5,2024,27,BOS,RW,75,45,57,102,22,45,12.6,33,12,0,4,36,21,0,352,12.8,1501,20:01,19,62,6,14,30.0,pastrda01
Mikko Rantanen,6,2024,27,COL,RW,74,39,61,100,18,48,10.9,25,14,0,8,35,26,0,247,15.8,1719,23:13,46,50,252,219,53.5,rantami01
Leon Draisaitl,7,2024,28,EDM,C,72,38,60,98,26,70,11.4,19,19,0,7,40,18,2,200,19.0,1497,20:47,22,48,742,555,57.2,draisle01
Auston Matthews,8,2024,26,TOR,C,72,60,35,95,29,16,13.3,45,15,0,8,23,11,1,320,18.8,1514,21:02,85,78,633,546,53.7,matthau01
William Nylander,9,2024,27,TOR,C,73,40,55,95,5,22,10.6,26,11,3,7,31,23,1,288,13.9,1456,19:57,26,28,47,57,45.2,nylanwi01
J.T. Miller,10,2024,30,VAN,C,73,35,57,92,29,49,10.6,23,10,2,9,32,25,0,171,20.5,1429,19:34,57,203,729,587,55.4,millejt01
Sam Reinhart,11,2024,28,FLA,C,74,51,35,86,24,31,12.0,19,27,5,9,29,6,0,205,24.9,1500,20:16,61,63,214,275,43.8,reinhsa01
Sebastian Aho,12,2024,26,CAR,F,72,33,52,85,31,32,10.3,23,9,1,9,30,21,1,203,16.3,1413,19:37,15,41,529,446,54.3,ahose01
Filip Forsberg,13,2024,29,NSH,C,74,41,43,84,17,41,10.3,32,9,0,10,25,18,0,304,13.5,1395,18:51,38,132,11,10,52.4,forsbfi01
Elias Pettersson,14,2024,25,VAN,C,73,33,51,84,18,10,9.3,21,12,0,10,32,17,2,190,17.4,1436,19:40,61,114,346,337,50.7,petteel01
Kirill Kaprizov,15,2024,26,MIN,LW,66,37,45,82,13,28,9.7,23,14,0,7,24,21,0,236,15.7,1405,21:17,35,51,0,1,0.0,kapriki01
Quinn Hughes,16,2024,24,VAN,D,73,13,68,81,39,34,12.8,11,2,0,2,39,29,0,173,7.5,1807,24:45,46,25,0,0,,hughequ01
Cale Makar,17,2024,25,COL,D,69,19,62,81,15,14,11.5,11,7,1,0,31,28,3,209,9.1,1717,24:53,128,35,0,0,,makarca01
Brayden Point,18,2024,27,TBL,C,72,42,39,81,-12,12,9.1,28,14,0,11,25,14,0,199,21.1,1443,20:02,40,14,251,295,46.0,pointbr01
Sidney Crosby,19,2024,36,PIT,C,73,35,44,79,5,38,8.9,27,8,0,3,33,11,0,254,13.8,1473,20:10,34,84,989,692,58.8,crosbsi01
Matthew Tkachuk,20,2024,26,FLA,LW,73,23,56,79,9,82,8.2,17,5,1,1,30,26,0,251,9.2,1363,18:40,27,139,3,5,37.5,tkachma01
Evan Bouchard,21,2024,24,EDM,D,72,16,60,76,29,24,11.9,9,7,0,6,33,27,0,194,8.2,1663,23:06,98,63,0,0,,bouchev01
Roman Josi,22,2024,33,NSH,D,74,19,57,76,14,43,11.4,11,8,0,5,34,22,1,240,7.9,1821,24:37,134,42,0,0,,josiro01
Mitch Marner,23,2024,26,TOR,RW,62,25,51,76,20,16,8.1,17,7,1,2,34,17,0,145,17.2,1322,21:20,46,53,2,10,16.7,marnemi01
Jason Robertson,24,2024,24,DAL,LW,75,27,49,76,19,20,8.1,19,8,0,3,31,18,0,215,12.6,1374,18:19,28,69,0,0,,roberja01
Vincent Trocheck,25,2024,30,NYR,C,74,25,50,75,19,53,7.8,13,11,1,5,38,12,0,195,12.8,1580,21:21,77,165,800,551,59.2,trochvi01
Mathew Barzal,26,2024,26,NYI,C,72,23,51,74,-5,34,6.9,18,5,0,4,32,19,0,214,10.7,1442,20:02,45,49,46,62,42.6,barzama01
Robert Thomas,27,2024,24,STL,C,74,23,51,74,8,38,7.5,15,7,1,3,33,16,2,154,14.9,1550,20:57,40,15,785,700,52.9,thomaro01
Jesper Bratt,28,2024,25,NJD,W,74,24,49,73,-4,10,7.2,18,6,0,6,29,19,1,230,10.4,1415,19:08,29,59,8,13,38.1,brattje01
Zach Hyman,29,2024,31,EDM,LW,71,52,20,72,33,46,10.7,37,15,0,7,16,4,0,264,19.7,1388,19:33,35,69,7,9,43.8,hymanza01
Aleksander Barkov,30,2024,28,FLA,C,65,21,50,71,28,22,8.1,16,5,0,4,25,23,2,176,11.9,1274,19:36,47,93,551,420,56.7,barkoal01
Victor Hedman,31,2024,33,TBL,D,70,12,59,71,18,62,11.0,8,4,0,2,35,24,0,147,8.2,1734,24:46,94,52,0,0,,hedmavi01
Jack Hughes,32,2024,22,NJD,C,58,26,45,71,-14,12,7.2,17,9,0,4,23,22,0,262,9.9,1211,20:53,22,10,118,199,37.2,hugheja03
Carter Verhaeghe,33,2024,28,FLA,C,74,33,37,70,15,36,8.6,25,8,0,7,24,13,0,239,13.8,1333,18:01,19,62,37,46,44.6,verhaca01
Tim Stützle,34,2024,22,OTT,LW,73,18,51,69,-14,28,5.2,17,1,0,2,33,18,0,186,9.7,1541,21:07,40,97,235,271,46.4,stuetti02
Nick Suzuki,35,2024,24,MTL,C,73,30,39,69,-13,32,6.9,20,10,0,1,20,19,0,165,18.2,1553,21:17,37,67,622,549,53.1,suzukni01
Brock Boeser,36,2024,26,VAN,RW,73,37,31,68,23,10,8.4,22,15,0,4,23,8,0,188,19.7,1366,18:43,27,50,10,12,45.5,boesebr01
Jake Guentzel,37,2024,29,TOT,C,61,24,44,68,22,16,7.8,20,4,0,2,29,15,0,220,10.9,1239,20:18,28,45,5,16,23.8,guentja01
Clayton Keller,38,2024,25,ARI,C,70,32,36,68,-21,26,6.9,23,9,0,4,18,18,0,204,15.7,1345,19:12,29,19,30,34,46.9,kellecl01
Gustav Nyquist,39,2024,34,NSH,RW,74,22,46,68,9,8,6.8,16,5,1,4,30,15,1,142,15.5,1304,17:37,37,33,14,22,38.9,nyquigu01
Chris Kreider,40,2024,32,NYR,LW,74,35,32,67,21,24,8.3,19,14,2,5,21,10,1,226,15.5,1396,18:52,20,95,35,59,37.2,kreidch01
Noah Dobson,41,2024,24,NYI,D,73,8,58,66,6,32,8.9,7,1,0,2,34,23,1,167,4.8,1828,25:03,165,82,0,0,,dobsono01
Brandon Hagel,42,2024,25,TBL,LW,73,23,43,66,2,67,6.4,21,2,0,1,37,5,1,164,14.0,1418,19:26,39,47,24,33,42.1,hagelbr01
Steven Stamkos,43,2024,33,TBL,C,70,30,36,66,-22,30,6.4,15,15,0,6,17,19,0,217,13.8,1278,18:15,37,69,307,257,54.4,stamkst01
Kevin Fiala,44,2024,27,LAK,LW,73,24,41,65,1,58,6.7,14,10,0,1,23,18,0,198,12.1,1309,17:56,25,60,10,26,27.8,fialake01
Adam Fox,45,2024,25,NYR,D,64,15,50,65,20,36,10.5,10,5,0,5,25,24,1,114,13.2,1491,23:18,109,41,0,0,,foxad01
Adrian Kempe,46,2024,27,LAK,LW,68,23,42,65,13,68,7.1,18,3,2,3,23,18,1,223,10.3,1281,18:50,31,104,2,8,20.0,kempead01
Anže Kopitar,47,2024,36,LAK,C,73,25,40,65,12,20,7.0,15,9,1,6,26,12,2,124,20.2,1429,19:35,61,31,785,643,55.0,kopitan01
Mark Scheifele,48,2024,30,WPG,C,67,23,42,65,17,55,6.9,17,6,0,4,31,11,0,147,15.6,1352,20:11,36,60,549,606,47.5,scheima01
Brady Tkachuk,49,2024,24,OTT,LW,72,33,32,65,2,122,7.2,23,10,0,2,24,8,0,313,10.5,1364,18:57,33,248,174,152,53.4,tkachbr01
Travis Konecny,50,2024,26,PHI,C,69,31,33,64,11,61,7.8,22,4,5,4,27,5,1,224,13.8,1370,19:51,28,72,35,55,38.9,konectr01
Bo Horvat,51,2024,28,NYI,C,72,29,34,63,-4,39,6.4,19,9,1,6,25,8,1,220,13.2,1423,19:46,37,58,692,592,53.9,horvabo01
Nazem Kadri,52,2024,33,CGY,C,73,24,39,63,2,43,6.3,17,7,0,3,31,8,0,239,10.0,1346,18:26,23,56,514,545,48.5,kadrina01
Brad Marchand,53,2024,35,BOS,LW,75,27,36,63,5,72,6.5,18,7,2,6,18,18,0,194,13.9,1447,19:18,32,99,23,29,44.2,marchbr03
Jonathan Marchessault,54,2024,33,VEG,C,74,40,23,63,2,38,7.8,33,7,0,5,16,7,0,246,16.3,1315,17:46,21,96,6,17,26.1,audymjo01
Joe Pavelski,55,2024,39,DAL,C,75,26,37,63,10,20,6.7,15,11,0,3,28,9,0,181,14.4,1255,16:44,64,64,317,315,50.2,paveljo01
Mika Zibanejad,56,2024,30,NYR,C,73,24,39,63,16,30,6.6,11,11,2,3,22,15,2,186,12.9,1444,19:47,52,43,494,508,49.3,zibanmi01
Matt Duchene,57,2024,33,DAL,C,73,24,38,62,15,16,6.6,18,6,0,7,29,9,0,159,15.1,1230,16:51,43,28,328,258,56.0,duchema01
Roope Hintz,58,2024,27,DAL,LW,73,28,34,62,25,22,7.3,18,7,3,6,22,11,1,168,16.7,1256,17:12,32,31,291,235,55.3,hintzro01
Seth Jarvis,59,2024,21,CAR,C,75,29,33,62,19,12,7.2,17,11,1,8,25,7,1,166,17.5,1410,18:48,49,108,144,177,44.9,jarvise01
Joel Eriksson Ek,60,2024,27,MIN,C,68,30,31,61,18,54,7.1,17,12,1,5,24,7,0,238,12.6,1404,20:38,47,156,708,715,49.8,eriksjo02
Ryan Nugent-Hopkins,61,2024,30,EDM,C,71,17,44,61,8,34,5.3,13,4,0,3,22,19,3,159,10.7,1400,19:43,30,52,219,238,47.9,nugenry01
Ryan O'Reilly,62,2024,32,NSH,C,74,25,36,61,8,16,6.1,11,14,0,1,26,10,0,163,15.3,1457,19:41,54,26,739,638,53.7,oreilry01
Dylan Strome,63,2024,26,WSH,C,73,25,36,61,-11,20,6.0,20,5,0,5,21,15,0,150,16.7,1296,17:45,52,9,597,546,52.2,stromdy01
Claude Giroux,64,2024,36,OTT,C,73,20,40,60,-10,24,4.8,16,2,2,2,26,13,1,163,12.3,1457,19:57,25,33,591,438,57.4,giroucl01
Brock Nelson,65,2024,32,NYI,C,73,29,31,60,-12,20,6.0,19,9,1,1,22,8,1,229,12.7,1318,18:03,40,35,300,355,45.8,nelsobr01
Lucas Raymond,66,2024,21,DET,LW,74,24,36,60,-20,26,5.3,18,6,0,3,27,9,0,137,17.5,1295,17:30,24,62,4,6,40.0,raymolu01
Matt Boldy,67,2024,22,MIN,LW,66,25,34,59,7,44,6.3,17,8,0,7,23,11,0,196,12.8,1231,18:39,28,29,32,45,41.6,boldyma01
Alex DeBrincat,68,2024,26,DET,RW,74,24,35,59,-2,34,5.8,14,10,0,1,27,8,0,205,11.7,1325,17:54,33,52,14,21,40.0,debrial01
Nico Hischier,69,2024,25,NJD,C,63,24,35,59,1,10,6.3,17,6,1,3,27,8,0,167,14.4,1213,19:15,37,37,683,517,56.9,hischni01
Wyatt Johnston,70,2024,20,DAL,C,75,29,30,59,10,34,6.5,23,3,3,3,24,6,0,196,14.8,1270,16:56,37,47,288,291,49.7,johnswy01
Josh Morrissey,71,2024,28,WPG,D,74,8,51,59,25,44,9.9,7,1,0,1,37,14,0,185,4.3,1796,24:16,95,82,0,0,,morrijo04
Drake Batherson,72,2024,25,OTT,C,73,26,32,58,-5,40,5.7,20,6,0,4,21,11,0,173,15.0,1307,17:54,33,87,38,55,40.9,bathedr01
Pavel Buchnevich,73,2024,28,STL,LW,72,26,32,58,5,44,6.3,16,8,2,5,24,7,1,191,13.6,1431,19:52,23,41,42,76,35.6,buchnpa01
Jordan Kyrou,74,2024,25,STL,C,74,25,33,58,-10,22,5.7,20,5,0,3,22,11,0,224,11.2,1358,18:21,31,24,3,5,37.5,kyroujo01
Dylan Larkin,75,2024,27,DET,C,60,29,29,58,-4,39,6.4,16,11,2,4,17,12,0,183,15.8,1188,19:48,25,38,608,497,55.0,larkidy01
Jared McCann,76,2024,27,SEA,C,72,27,31,58,-8,27,6.3,16,9,2,3,18,13,0,190,14.2,1203,16:43,24,44,134,140,48.9,mccanja01
Alex Ovechkin,77,2024,38,WSH,LW,70,26,32,58,-18,20,5.4,14,12,0,4,18,14,0,246,10.6,1350,19:17,23,135,0,2,0.0,ovechal01
John Tavares,78,2024,33,TOR,C,71,24,34,58,2,24,5.7,16,8,0,6,25,9,0,247,9.7,1275,17:57,36,115,708,475,59.8,tavarjo01
Connor Bedard,79,2024,18,CHI,C,60,21,36,57,-39,26,4.7,18,3,0,2,20,16,0,190,11.1,1182,19:42,24,45,190,297,39.0,bedarco01
Jack Eichel,80,2024,27,VEG,C,55,25,32,57,5,25,6.2,17,8,0,6,23,8,1,241,10.4,1131,20:33,55,23,368,437,45.7,eicheja01
Evgeni Malkin,81,2024,37,PIT,C,73,21,35,56,-1,58,5.3,16,5,0,2,25,10,0,175,12.0,1355,18:33,35,25,341,354,49.1,malkiev01
Nick Schmaltz,82,2024,27,ARI,C,71,21,35,56,-17,10,4.7,10,10,1,3,24,11,0,144,14.6,1354,19:04,41,15,149,200,42.7,schmani01
