Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
Evgeni Malkin,1,2012,25,PIT,C,75,50,59,109,18,70,15.7,38,12,0,9,37,22,0,339,14.7,1577,21:01,41.0,29,575.0,635.0,47.5,malkiev01
Steven Stamkos,2,2012,21,TBL,C,82,60,37,97,7,66,14.6,48,12,0,12,24,13,0,303,19.8,1806,22:01,37.0,109,558.0,669.0,45.5,stamkst01
Claude Giroux,3,2012,24,PHI,RW,77,28,65,93,6,29,10.6,22,6,0,5,31,32,2,242,11.6,1659,21:33,44.0,70,828.0,715.0,53.7,giroucl01
Jason Spezza,4,2012,28,OTT,C,80,34,50,84,11,36,10.5,24,10,0,2,36,14,0,232,14.7,1594,19:55,23.0,28,909.0,791.0,53.5,spezzja01
Ilya Kovalchuk,5,2012,28,NJD,LW,77,37,46,83,-9,33,10.5,24,10,3,5,25,19,2,310,11.9,1882,24:26,18.0,27,13.0,24.0,35.1,kovalil01
Phil Kessel,6,2012,24,TOR,RW,82,37,45,82,-10,20,9.9,27,10,0,6,32,13,0,295,12.5,1645,20:03,21.0,12,9.0,19.0,32.1,kesseph01
James Neal,7,2012,24,PIT,LW,80,40,41,81,6,87,11.0,22,18,0,4,29,12,0,329,12.2,1531,19:08,15.0,108,4.0,11.0,26.7,nealja01
Henrik Sedin*,8,2012,31,VAN,C,82,14,67,81,23,52,8.7,6,8,0,6,48,19,0,113,12.4,1565,19:05,17.0,32,652.0,650.0,50.1,sedinhe01
John Tavares,9,2012,21,NYI,C,82,31,50,81,-6,26,9.6,24,7,0,8,32,18,0,286,10.8,1687,20:34,23.0,27,813.0,772.0,51.3,tavarjo01
Patrik Eliáš,10,2012,35,NJD,LW,81,26,52,78,-8,16,9.1,16,8,2,3,29,21,2,164,15.9,1608,19:51,26.0,61,604.0,765.0,44.1,eliaspa01
Erik Karlsson,11,2012,21,OTT,D,81,19,59,78,16,42,13.1,16,3,0,5,34,25,0,261,7.3,2051,25:19,65.0,60,0.0,1.0,0.0,karlser01
Marián Hossa*,12,2012,33,CHI,RW,81,29,48,77,18,20,9.4,18,9,2,4,36,11,1,248,11.7,1617,19:58,40.0,73,3.0,6.0,33.3,hossama01
Joe Thornton,13,2012,32,SJS,C,82,18,59,77,17,31,8.4,14,4,0,2,39,19,1,156,11.5,1678,20:28,26.0,42,557.0,436.0,56.1,thornjo01
Ray Whitney,14,2012,39,PHX,LW,82,24,53,77,26,28,9.7,16,8,0,1,41,12,0,185,13.0,1529,18:39,10.0,28,4.0,11.0,26.7,whitnra01
Jordan Eberle,15,2012,21,EDM,C,78,34,42,76,4,10,10.3,24,10,0,4,32,10,0,180,18.9,1373,17:36,24.0,45,12.0,15.0,44.4,eberljo01
Marián Gáborík,16,2012,29,NYR,RW,82,41,35,76,15,34,11.2,31,10,0,7,24,11,0,276,14.9,1600,19:31,40.0,63,0.0,2.0,0.0,gaborma01
Anže Kopitar,17,2012,24,LAK,C,82,25,51,76,12,20,9.5,15,8,2,2,31,18,2,230,10.9,1750,21:20,53.0,72,754.0,646.0,53.9,kopitan01
Martin St. Louis*,18,2012,36,TBL,RW,77,25,49,74,-3,16,7.7,21,4,0,3,37,12,0,185,13.5,1743,22:38,39.0,17,18.0,23.0,43.9,stlouma01
Jason Pominville,19,2012,29,BUF,RW,82,30,43,73,-7,12,8.4,20,8,2,5,24,18,1,235,12.8,1614,19:41,52.0,30,179.0,196.0,47.7,pominja01
Loui Eriksson,20,2012,26,DAL,LW,82,26,45,71,18,12,8.6,19,5,2,3,37,7,1,187,13.9,1620,19:46,40.0,20,7.0,9.0,43.8,erikslo01
Eric Staal,21,2012,27,CAR,C,82,24,46,70,-20,48,7.1,14,7,3,3,28,16,2,262,9.2,1767,21:33,35.0,48,882.0,799.0,52.5,staaler01
Matt Moulson,22,2012,28,NYI,LW,82,36,33,69,1,6,9.3,22,14,0,5,23,10,0,219,16.4,1583,19:18,40.0,33,2.0,2.0,50.0,moulsma01
Zach Parise,23,2012,27,NJD,C,82,31,38,69,-5,32,8.6,21,7,3,3,27,7,4,293,10.6,1762,21:29,39.0,65,30.0,33.0,47.6,parisza01
Patrick Sharp,24,2012,30,CHI,C,74,33,36,69,28,38,9.7,25,7,1,8,26,10,0,282,11.7,1473,19:54,18.0,80,139.0,152.0,47.8,sharppa01
Henrik Zetterberg,25,2012,31,DET,C,82,22,47,69,14,47,7.6,19,3,0,4,34,11,2,267,8.2,1627,19:50,26.0,45,548.0,567.0,49.1,zettehe01
Pavel Datsyuk,26,2012,33,DET,C,70,19,48,67,21,14,7.9,15,4,0,5,29,19,0,164,11.6,1370,19:34,31.0,76,702.0,547.0,56.2,datsypa01
Scott Hartnell,27,2012,29,PHI,RW,82,37,30,67,19,136,9.6,21,16,0,6,23,7,0,232,15.9,1458,17:47,37.0,188,20.0,43.0,31.7,hartnsc01
Jarome Iginla*,28,2012,34,CGY,RW,82,32,35,67,-10,43,8.3,24,8,0,5,24,11,0,251,12.7,1690,20:36,43.0,124,214.0,212.0,50.2,iginlja01
Joffrey Lupul,29,2012,28,TOR,C,66,25,42,67,1,48,8.1,17,8,0,3,29,13,0,191,13.1,1228,18:37,25.0,110,21.0,37.0,36.2,lupuljo01
P.A. Parenteau,30,2012,28,NYI,LW,80,18,49,67,-8,89,6.8,12,6,0,2,36,13,0,167,10.8,1492,18:39,23.0,99,10.0,16.0,38.5,parenpi01
