Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
Patrick Kane,1,2016,27,CHI,RW,82,46,60,106,17,30,15.0,29,17,0,9,40,20,0,287,16.0,1674,20:25,21,37,11,40,21.6,kanepa01
Jamie Benn,2,2016,26,DAL,LW,82,41,48,89,7,64,12.1,22,17,2,5,32,13,3,247,16.6,1642,20:01,55,156,226,252,47.3,bennja01
Sidney Crosby,3,2016,28,PIT,C,80,36,49,85,19,42,11.5,26,10,0,9,35,14,0,248,14.5,1638,20:28,35,90,986,921,51.7,crosbsi01
Erik Karlsson,4,2016,25,OTT,D,82,16,66,82,-2,50,11.7,15,1,0,3,41,25,0,248,6.5,2375,28:58,175,84,0,1,0.0,karlser01
Joe Thornton,5,2016,36,SJS,C,82,19,63,82,25,54,10.0,11,8,0,6,42,21,0,121,15.7,1506,18:22,30,48,399,353,53.1,thornjo01
Johnny Gaudreau,6,2016,22,CGY,LW,79,30,48,78,4,20,9.2,24,6,0,6,33,15,0,217,13.8,1575,19:56,10,26,2,3,40.0,gaudrjo01
Joe Pavelski,7,2016,31,SJS,C,82,38,40,78,25,30,11.5,26,12,0,11,24,16,0,224,17.0,1625,19:49,67,147,516,422,55.0,paveljo01
Blake Wheeler,8,2016,29,WPG,RW,82,26,52,78,8,49,9.4,21,3,2,5,36,14,2,256,10.2,1623,19:47,56,92,10,18,35.7,wheelbl01
Evgeny Kuznetsov,9,2016,23,WSH,C,82,20,57,77,27,32,9.6,15,5,0,4,44,13,0,193,10.4,1428,17:25,29,73,543,594,47.8,kuzneev01
Artemi Panarin,10,2016,24,CHI,LW,80,30,47,77,8,32,9.8,22,8,0,7,31,16,0,187,16.0,1482,18:31,14,46,0,0,,panarar01
Brent Burns,11,2016,30,SJS,D,82,27,48,75,-5,53,12.9,19,7,1,4,24,23,1,353,7.6,2121,25:52,145,101,1,0,100.0,burnsbr01
Anže Kopitar,12,2016,28,LAK,C,81,25,49,74,34,16,9.7,19,5,1,8,34,13,2,177,14.1,1690,20:52,65,78,950,826,53.5,kopitan01
Vladimir Tarasenko,13,2016,24,STL,RW,80,40,34,74,7,37,10.8,28,12,0,7,22,12,0,292,13.7,1491,18:38,28,32,0,1,0.0,tarasvl01
Tyler Seguin,14,2016,24,DAL,C,72,33,40,73,2,16,9.6,26,7,0,6,23,17,0,278,11.9,1400,19:27,27,80,470,376,55.6,seguity01
Alex Ovechkin,15,2016,30,WSH,LW,79,50,21,71,21,53,11.7,31,19,0,8,16,5,0,398,12.6,1604,20:19,34,225,0,0,,ovechal01
Nicklas Bäckström,16,2016,28,WSH,C,75,20,50,70,17,36,8.3,17,3,0,4,23,27,0,129,15.5,1439,19:11,50,51,659,698,48.6,backsni02
John Tavares,17,2016,25,NYI,C,78,33,37,70,6,38,9.3,26,7,0,5,25,12,0,250,13.2,1560,20:00,29,51,741,629,54.1,tavarjo01
Patrice Bergeron,18,2016,30,BOS,C,80,32,36,68,12,49,9.0,19,12,1,6,21,13,2,282,11.3,1587,19:50,56,77,1130,848,57.1,bergepa01
Claude Giroux,19,2016,28,PHI,C,78,22,45,67,-8,53,6.9,15,6,1,5,23,21,1,241,9.1,1603,20:33,36,83,1083,798,57.6,giroucl01
Kris Letang,20,2016,28,PIT,D,71,16,51,67,9,66,11.3,11,5,0,2,26,22,3,218,7.3,1913,26:57,122,135,0,0,,letankr01
Jaromír Jágr,21,2016,43,FLA,RW,79,27,39,66,23,48,9.2,22,5,0,4,33,6,0,143,18.9,1349,17:05,16,31,0,1,0.0,jagrja01
Nikita Kucherov,22,2016,22,TBL,RW,77,30,36,66,9,30,9.2,21,9,0,4,20,16,0,209,14.4,1402,18:13,28,61,0,1,0.0,kucheni01
Taylor Hall,23,2016,24,EDM,LW,82,26,39,65,-4,54,7.6,22,4,0,6,31,8,0,286,9.1,1575,19:12,50,82,14,25,35.9,hallta02
Filip Forsberg,24,2016,21,NSH,LW,82,33,31,64,1,47,8.5,24,8,1,3,16,15,0,247,13.4,1562,19:03,41,114,2,7,22.2,forsbfi01
Kyle Okposo,25,2016,27,NYI,RW,79,22,42,64,-4,51,7.2,15,7,0,4,26,16,0,202,10.9,1438,18:12,39,90,23,40,36.5,okposky01
Max Pacioretty,26,2016,27,MTL,LW,82,30,34,64,-10,34,7.5,21,8,1,6,25,9,0,303,9.9,1519,18:32,37,102,6,7,46.2,pacioma01
Steven Stamkos,27,2016,25,TBL,C,77,36,28,64,3,38,9.2,21,14,1,8,17,9,2,216,16.7,1521,19:45,35,109,463,464,49.9,stamkst01
Loui Eriksson,28,2016,30,BOS,RW,82,30,33,63,13,12,8.2,18,10,2,5,25,7,1,184,16.3,1598,19:29,34,22,12,9,57.1,erikslo01
Ryan Getzlaf,29,2016,30,ANA,C,77,13,50,63,14,55,7.0,7,6,0,5,33,16,1,178,7.3,1502,19:30,61,108,602,617,49.4,getzlry01
David Krejčí,30,2016,29,BOS,C,72,17,46,63,4,32,6.6,13,4,0,3,29,14,3,143,11.9,1462,20:18,57,43,560,557,50.1,krejcda01
Sean Monahan,31,2016,21,CGY,C,81,27,36,63,-6,18,6.9,20,7,0,5,23,13,0,197,13.7,1552,19:10,37,38,887,852,51.0,monahse01
Jason Spezza,32,2016,32,DAL,C,75,33,30,63,4,22,8.8,24,9,0,7,15,15,0,202,16.3,1239,16:31,20,9,538,443,54.8,spezzja01
Jeff Carter,33,2016,31,LAK,C,77,24,38,62,18,20,8.0,19,4,1,6,29,8,1,242,9.9,1416,18:23,39,89,598,630,48.7,carteje01
Corey Perry,34,2016,30,ANA,RW,82,34,28,62,2,68,8.9,22,12,0,6,16,12,0,215,15.8,1452,17:42,36,104,2,8,20.0,perryco01
Roman Josi,35,2016,25,NSH,D,81,14,47,61,-3,43,10.4,7,6,1,3,28,18,1,198,7.1,2064,25:29,185,59,0,0,,josiro01
Brad Marchand,36,2016,27,BOS,LW,77,37,24,61,21,90,9.4,27,6,4,6,20,2,2,250,14.8,1432,18:36,35,65,21,35,37.5,marchbr03
Mark Scheifele,37,2016,22,WPG,C,71,29,32,61,16,48,8.6,22,7,0,3,28,4,0,194,14.9,1317,18:33,36,53,515,651,44.2,scheima01
Daniel Sedin*,38,2016,35,VAN,LW,82,28,33,61,7,36,8.0,20,8,0,6,21,11,1,258,10.9,1503,18:20,19,20,5,14,26.3,sedinda01
Mark Stone,39,2016,23,OTT,RW,75,23,38,61,-4,38,6.7,17,5,1,1,26,10,2,151,15.2,1508,20:06,54,55,8,11,42.1,stonema01
Mats Zuccarello,40,2016,28,NYR,RW,81,26,35,61,2,34,7.2,19,7,0,4,24,11,0,166,15.7,1497,18:29,69,88,5,6,45.5,zuccama01
Ryan Johansen,41,2016,23,TOT,C,80,14,46,60,6,61,6.3,10,4,0,2,28,18,0,185,7.6,1405,17:34,30,115,652,594,52.3,johanry01
Jussi Jokinen,42,2016,32,FLA,LW,81,18,42,60,25,42,7.3,12,5,1,1,34,7,1,153,11.8,1482,18:17,50,43,135,127,51.5,jokinju01
Ryan O'Reilly,43,2016,24,BUF,C,71,21,39,60,-16,8,6.4,12,8,1,2,25,14,0,157,13.4,1543,21:44,43,17,1024,788,56.5,oreilry01
Wayne Simmonds,44,2016,27,PHI,RW,81,32,28,60,-7,147,7.6,19,13,0,5,20,8,0,229,14.0,1396,17:14,44,192,5,2,71.4,simmowa01
Aleksander Barkov,45,2016,20,FLA,C,66,28,31,59,18,8,8.4,18,9,1,8,23,7,1,171,16.4,1282,19:26,39,43,569,587,49.2,barkoal01
Matt Duchene,46,2016,25,COL,C,76,30,29,59,-8,24,7.2,22,8,0,6,22,7,0,200,15.0,1413,18:35,37,41,428,311,57.9,duchema01
Mike Hoffman,47,2016,26,OTT,LW,78,29,30,59,1,18,7.6,20,9,0,3,26,4,0,242,12.0,1368,17:33,29,22,8,10,44.4,hoffmmi02
Jonathan Huberdeau,48,2016,22,FLA,LW,76,20,39,59,17,43,7.3,15,4,1,2,30,9,0,174,11.5,1379,18:09,36,53,7,11,38.9,huberjo01
Phil Kessel,49,2016,28,PIT,RW,82,26,33,59,9,18,7.2,22,4,0,5,20,13,0,274,9.5,1507,18:23,13,9,2,3,40.0,kesseph01
Brayden Schenn,50,2016,24,PHI,C,80,26,33,59,3,33,7.4,15,11,0,5,22,11,0,178,14.6,1352,16:54,30,187,52,64,44.8,schenbr01
Derick Brassard,51,2016,28,NYR,C,80,27,31,58,12,30,7.5,19,8,0,5,17,14,0,182,14.8,1431,17:53,23,103,676,670,50.2,brassde01
John Klingberg,52,2016,23,DAL,D,76,10,48,58,22,30,10.2,8,2,0,4,28,20,0,171,5.8,1724,22:41,68,44,0,0,,klingjo01
Evgeni Malkin,53,2016,29,PIT,C,57,27,31,58,1,65,7.6,16,11,0,6,15,16,0,162,16.7,1104,19:22,19,27,317,438,42.0,malkiev01
James Neal,54,2016,28,NSH,RW,82,31,27,58,27,65,8.7,27,4,0,3,17,10,0,268,11.6,1564,19:04,31,113,8,19,29.6,nealja01
Jonathan Toews,55,2016,27,CHI,C,80,28,30,58,16,62,7.7,18,6,4,8,24,3,3,179,15.6,1540,19:15,38,81,921,652,58.6,toewsjo01
Tyler Toffoli,56,2016,23,LAK,C,82,31,27,58,35,20,9.1,21,9,1,4,25,2,0,213,14.6,1420,17:19,19,70,0,4,0.0,toffoty01
Kyle Palmieri,57,2016,24,NJD,RW,82,30,27,57,3,39,8.2,19,11,0,4,15,12,0,222,13.5,1460,17:48,51,129,10,17,37.0,palmiky01
Jack Eichel,58,2016,19,BUF,C,81,24,32,56,-16,22,6.3,16,8,0,5,19,13,0,238,10.1,1549,19:07,25,43,402,578,41.0,eicheja01
Alex Galchenyuk,59,2016,21,MTL,C,82,30,26,56,-8,20,7.0,21,9,0,4,19,7,0,201,14.9,1333,16:16,36,62,359,390,47.9,galchal01
Mark Giordano,60,2016,32,CGY,D,82,21,35,56,-5,54,9.2,11,9,1,2,23,10,2,212,9.9,2032,24:47,193,65,0,0,,giordma01
Mikko Koivu,61,2016,32,MIN,C,82,17,39,56,6,40,6.0,6,10,1,2,28,10,1,141,12.1,1634,19:56,57,38,988,771,56.2,koivumi01
Bobby Ryan,62,2016,28,OTT,RW,81,22,34,56,-9,28,6.0,16,6,0,2,24,10,0,183,12.0,1391,17:10,24,106,3,8,27.3,ryanbo01
Oliver Ekman-Larsson,63,2016,24,ARI,D,75,21,34,55,-6,96,9.5,9,12,0,8,19,15,0,228,9.2,1858,24:46,67,154,0,0,,ekmanol01
Milan Lucic,64,2016,27,LAK,LW,81,20,35,55,26,79,7.2,18,2,0,5,29,6,0,124,16.1,1396,17:14,22,244,7,13,35.0,lucicmi01
Henrik Sedin*,65,2016,35,VAN,C,74,11,44,55,0,24,5.4,5,5,1,0,29,15,0,99,11.1,1360,18:23,19,9,620,727,46.0,sedinhe01
Patrick Sharp,66,2016,34,DAL,LW,76,20,35,55,-3,27,5.9,13,7,0,6,18,17,0,226,8.8,1339,17:37,24,76,16,17,48.5,sharppa01
Jakub Voráček,67,2016,26,PHI,RW,73,11,44,55,-5,38,4.9,10,1,0,2,22,22,0,213,5.2,1357,18:35,34,51,3,3,50.0,voracja01
Tomáš Plekanec,68,2016,33,MTL,C,82,14,40,54,4,36,5.2,13,1,0,1,28,12,0,189,7.4,1520,18:32,46,60,804,811,49.8,plekato01
Cam Atkinson,69,2016,26,CBJ,RW,81,27,26,53,-8,22,6.2,21,4,2,3,20,6,0,226,11.9,1442,17:48,40,47,2,2,50.0,atkinca01
Dustin Byfuglien,70,2016,30,WPG,D,81,19,34,53,4,119,9.7,15,3,1,6,19,14,1,247,7.7,2041,25:12,105,222,0,0,,byfugdu01
Ryan Kesler,71,2016,31,ANA,C,79,21,32,53,5,78,6.4,15,5,1,4,22,10,0,164,12.8,1543,19:32,92,168,980,695,58.5,keslery01
Gabriel Landeskog,72,2016,23,COL,LW,75,20,33,53,-5,69,5.6,15,4,1,2,21,10,2,169,11.8,1419,18:56,66,141,31,25,55.4,landega01
Zach Parise,73,2016,31,MIN,LW,70,25,28,53,-3,36,6.6,18,7,0,7,17,11,0,234,10.7,1350,19:18,42,71,0,4,0.0,parisza01
Brandon Saad,74,2016,23,CBJ,LW,78,31,22,53,1,14,7.2,25,6,0,7,19,2,1,233,13.3,1343,17:13,25,43,19,15,55.9,saadbr01
Derek Stepan,75,2016,25,NYR,C,72,22,31,53,5,20,6.4,14,5,3,5,22,9,0,192,11.5,1278,17:45,39,38,515,589,46.6,stepade01
Vincent Trocheck,76,2016,22,FLA,C,76,25,28,53,15,44,7.1,20,4,1,4,19,9,0,174,14.4,1351,17:46,41,125,547,559,49.5,trochvi01
Max Domi,77,2016,20,ARI,LW,81,18,34,52,3,72,5.8,15,3,0,0,21,12,1,156,11.5,1326,16:22,25,34,20,35,36.4,domima01
Nathan MacKinnon,78,2016,20,COL,C,72,21,31,52,-4,20,5.7,14,7,0,6,21,9,1,245,8.6,1358,18:52,53,46,507,540,48.4,mackina01
Frans Nielsen,79,2016,31,NYI,C,81,20,32,52,1,12,5.8,11,7,2,2,19,13,0,181,11.0,1435,17:43,92,35,586,583,50.1,nielsfr01
Alexander Steen,80,2016,31,STL,LW,67,17,35,52,3,48,5.8,14,2,1,2,16,19,0,172,9.9,1365,20:22,35,50,159,198,44.5,steenal01
Justin Williams,81,2016,34,WSH,RW,82,22,30,52,15,36,6.6,19,3,0,3,23,6,1,201,10.9,1366,16:39,43,32,57,52,52.3,williju01
Mikkel Bødker,82,2016,26,TOT,LW,80,17,34,51,-33,12,3.8,14,3,0,5,18,16,0,166,10.2,1481,18:30,31,50,1,2,33.3,boedkmi01
Drew Doughty,83,2016,26,LAK,D,82,14,37,51,24,52,11.6,4,9,1,3,21,15,1,197,7.1,2297,28:01,105,125,0,0,,doughdr01
Leon Draisaitl,84,2016,20,EDM,C,72,19,32,51,-2,20,5.8,14,5,0,2,28,4,0,133,14.3,1300,18:03,18,38,502,536,48.4,draisle01
Patric Hörnqvist,85,2016,29,PIT,RW,82,22,29,51,15,36,6.4,13,9,0,3,23,6,0,257,8.6,1382,16:51,54,160,5,3,62.5,hornqpa01
T.J. Oshie,86,2016,29,WSH,RW,80,26,25,51,16,34,6.7,15,11,0,5,19,6,0,185,14.1,1517,18:58,62,134,138,124,52.7,oshietj01
Jeff Skinner,87,2016,23,CAR,LW,82,28,23,51,-2,38,7.0,24,4,0,7,20,3,0,258,10.9,1336,16:17,17,21,20,27,42.6,skinnje01
Carl Söderberg,88,2016,30,COL,C,82,12,39,51,-7,32,4.3,8,3,1,0,27,11,1,163,7.4,1477,18:01,71,27,338,381,47.0,soderca01
Lee Stempniak,89,2016,32,TOT,RW,82,19,32,51,4,38,6.1,15,3,1,4,23,9,0,146,13.0,1471,17:57,34,113,2,11,15.4,stemple01
