Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
Alex Ovechkin,1,2008,22,WSH,LW,82,65,47,112,28,40,17.2,43,22,0,11,32,15,0,446,14.6,1879,22:55,44.0,220,7.0,11.0,38.9,ovechal01
Evgeni Malkin,2,2008,21,PIT,C,82,47,59,106,16,78,13.9,30,17,0,5,36,23,0,272,17.3,1748,21:19,40.0,49,350.0,540.0,39.3,malkiev01
Jarome Iginla*,3,2008,30,CGY,RW,82,50,48,98,27,83,14.2,35,15,0,9,30,18,0,338,14.8,1758,21:26,10.0,98,245.0,200.0,55.1,iginlja01
Pavel Datsyuk,4,2008,29,DET,C,82,31,66,97,41,20,12.6,20,10,1,6,36,30,0,264,11.7,1753,21:23,42.0,40,452.0,380.0,54.3,datsypa01
Joe Thornton,5,2008,28,SJS,C,82,29,67,96,18,59,11.9,18,11,0,5,41,26,0,178,16.3,1739,21:12,31.0,60,784.0,700.0,52.8,thornjo01
Vincent Lecavalier,6,2008,27,TBL,C,81,40,52,92,-17,89,10.7,29,10,1,7,30,19,3,318,12.6,1859,22:57,21.0,108,810.0,848.0,48.9,lecavvi01
Jason Spezza,7,2008,24,OTT,C,76,34,58,92,26,66,11.6,23,11,0,6,36,22,0,210,16.2,1571,20:40,18.0,18,727.0,713.0,50.5,spezzja01
Henrik Zetterberg,8,2008,27,DET,LW,75,43,49,92,30,34,13.0,26,16,1,7,29,20,0,358,12.0,1655,22:04,16.0,31,666.0,543.0,55.1,zettehe01
Daniel Alfredsson*,9,2008,35,OTT,RW,70,40,49,89,15,34,11.5,24,9,7,5,31,16,2,217,18.4,1560,22:17,30.0,55,21.0,18.0,53.8,alfreda01
Ilya Kovalchuk,10,2008,24,ATL,LW,79,52,35,87,-12,52,12.0,34,16,2,4,21,14,0,283,18.4,1699,21:30,25.0,39,13.0,16.0,44.8,kovalil01
Alex Kovalev,11,2008,34,MTL,RW,82,35,49,84,18,70,10.8,18,17,0,5,17,30,2,230,15.2,1603,19:33,39.0,88,32.0,26.0,55.2,kovalal01
Marián Gáborík,12,2008,25,MIN,RW,77,42,41,83,17,63,11.6,30,11,1,8,28,13,0,278,15.1,1509,19:36,18.0,59,6.0,15.0,28.6,gaborma01
Mike Ribeiro,13,2008,27,DAL,C,76,27,56,83,21,46,10.5,20,7,0,5,32,24,0,107,25.2,1400,18:26,23.0,53,396.0,488.0,44.8,ribeimi01
Martin St. Louis*,14,2008,32,TBL,RW,82,25,58,83,-23,26,7.6,13,10,2,5,38,19,1,241,10.4,1991,24:17,45.0,34,3.0,9.0,25.0,stlouma01
Ryan Getzlaf,15,2008,22,ANA,C,77,24,58,82,32,94,10.5,19,4,1,2,26,32,0,185,13.0,1513,19:39,46.0,126,545.0,607.0,47.3,getzlry01
Dany Heatley,16,2008,27,OTT,LW,71,41,41,82,33,76,11.6,28,13,0,8,29,12,0,224,18.3,1543,21:44,31.0,58,15.0,11.0,57.7,heatlda01
Eric Staal,17,2008,23,CAR,C,82,38,44,82,-2,50,9.4,24,14,0,7,23,21,0,310,12.3,1774,21:38,33.0,99,767.0,941.0,44.9,staaler01
Derek Roy,18,2008,24,BUF,C,78,32,49,81,13,46,9.5,23,6,3,4,30,17,2,218,14.7,1636,20:58,48.0,35,700.0,673.0,51.0,royde01
Jason Pominville,19,2008,25,BUF,RW,82,27,53,80,16,20,8.9,24,2,1,1,26,25,2,232,11.6,1637,19:58,37.0,30,24.0,42.0,36.4,pominja01
Shane Doan,20,2008,31,PHX,RW,80,28,50,78,4,59,9.0,17,9,2,5,25,18,7,243,11.5,1661,20:46,17.0,158,77.0,110.0,41.2,doansh01
Marc Savard,21,2008,30,BOS,C,74,15,63,78,3,66,7.6,11,4,0,2,34,27,2,196,7.7,1519,20:31,11.0,38,802.0,753.0,51.6,savarma01
Mats Sundin*,22,2008,36,TOR,C,74,32,46,78,17,76,9.8,21,10,1,4,27,19,0,259,12.4,1485,20:04,34.0,33,945.0,768.0,55.2,sundima01
Anže Kopitar,23,2008,20,LAK,C,82,32,45,77,-15,22,8.3,18,12,2,3,21,22,2,201,15.9,1696,20:41,40.0,47,566.0,584.0,49.2,kopitan01
Henrik Sedin*,24,2008,27,VAN,C,82,15,61,76,6,56,7.6,10,4,1,2,36,25,0,141,10.6,1600,19:31,15.0,19,643.0,726.0,47.0,sedinhe01
Mike Richards,25,2008,22,PHI,C,73,28,47,75,14,76,9.2,15,8,5,6,23,23,1,212,13.2,1570,21:31,46.0,110,698.0,682.0,50.6,richami02
Brenden Morrow,26,2008,29,DAL,LW,82,32,42,74,23,105,9.8,18,12,2,7,26,16,0,207,15.5,1639,20:00,29.0,260,16.0,25.0,39.0,morrobr01
Daniel Sedin*,27,2008,27,VAN,LW,82,29,45,74,6,50,9.0,17,12,0,7,25,20,0,247,11.7,1562,19:03,14.0,11,17.0,21.0,44.7,sedinda01
Jason Arnott,28,2008,33,NSH,C,79,28,44,72,19,54,8.8,15,13,0,3,35,9,0,248,11.3,1500,18:59,23.0,42,614.0,646.0,48.7,arnotja01
Daniel Brière,29,2008,30,PHI,C,79,31,41,72,-22,68,7.9,17,14,0,3,17,23,1,182,17.0,1490,18:52,17.0,29,631.0,619.0,50.5,brierda01
Sidney Crosby,30,2008,20,PIT,C,53,24,48,72,18,39,9.0,18,6,0,4,26,21,1,173,13.9,1105,20:51,40.0,50,567.0,536.0,51.4,crosbsi01
J.P. Dumont,31,2008,29,NSH,RW,80,29,43,72,5,34,8.4,22,7,0,8,34,9,0,192,15.1,1480,18:30,11.0,44,3.0,10.0,23.1,dumonjp01
Patrick Kane,32,2008,19,CHI,RW,82,21,51,72,-5,52,7.2,14,7,0,4,30,21,0,191,11.0,1506,18:22,7.0,16,16.0,10.0,61.5,kanepa01
Aleš Hemský,33,2008,24,EDM,RW,74,20,51,71,-9,34,7.2,12,8,0,2,29,22,0,184,10.9,1375,18:35,29.0,24,1.0,4.0,20.0,hemskal01
Jaromír Jágr,34,2008,35,NYR,RW,82,25,46,71,8,58,8.0,18,7,0,5,24,22,0,249,10.0,1678,20:28,16.0,27,1.0,2.0,33.3,jagrja01
Olli Jokinen,35,2008,29,FLA,C,82,34,37,71,-19,67,7.9,16,18,0,5,22,15,0,341,10.0,1632,19:54,25.0,78,404.0,534.0,43.1,jokinol01
Václav Prospal,36,2008,32,TOT,LW,80,33,38,71,0,45,8.8,23,10,0,5,38,0,0,215,15.3,1550,19:22,37.0,73,141.0,115.0,55.1,prospva01
Paul Stastny,37,2008,22,COL,C,66,24,47,71,22,24,8.5,21,3,0,4,28,18,1,138,17.4,1391,21:05,31.0,16,561.0,540.0,51.0,stastpa01
Scott Gomez,38,2008,28,NYR,C,81,16,54,70,3,36,6.8,9,7,0,3,31,22,1,242,6.6,1611,19:54,24.0,48,612.0,553.0,52.5,gomezsc01
Nicklas Lidström*,39,2008,37,DET,D,76,10,60,70,40,40,14.4,5,5,0,4,30,29,1,188,5.3,1997,26:16,70.0,23,0.0,0.0,,lidstni01
Nicklas Bäckström,40,2008,20,WSH,C,82,14,55,69,13,24,6.8,11,3,0,4,33,22,0,153,9.2,1557,19:00,34.0,34,405.0,469.0,46.3,backsni02
Rick Nash,41,2008,23,CBJ,LW,80,38,31,69,2,95,9.4,24,10,4,6,19,12,0,329,11.6,1639,20:29,30.0,67,14.0,30.0,31.8,nashri01
Tomáš Plekanec,42,2008,25,MTL,C,81,29,40,69,15,42,8.6,15,12,2,6,26,13,1,186,15.6,1464,18:05,28.0,32,683.0,698.0,49.5,plekato01
Alex Frolov,43,2008,25,LAK,LW,71,23,44,67,1,22,7.5,18,5,0,7,31,13,0,160,14.4,1335,18:48,18.0,22,2.0,9.0,18.2,froloal01
Marián Hossa*,44,2008,29,TOT,RW,72,29,37,66,-14,36,7.2,19,8,2,4,16,21,0,264,11.0,1538,21:22,19.0,63,4.0,11.0,26.7,hossama01
Kristian Huselius,45,2008,29,CGY,LW,81,25,41,66,10,40,7.8,19,6,0,5,22,19,0,202,12.4,1433,17:42,11.0,9,1.0,3.0,25.0,huselkr01
Brad Boyes,46,2008,25,STL,RW,82,43,22,65,1,20,9.3,32,11,0,9,14,8,0,207,20.8,1471,17:57,20.0,55,105.0,131.0,44.5,boyesbr01
Sergei Gonchar,47,2008,33,PIT,D,78,12,53,65,13,66,11.1,4,8,0,2,15,38,0,173,6.9,2005,25:42,126.0,56,0.0,0.0,,gonchse01
Paul Kariya*,48,2008,33,STL,LW,82,16,49,65,-10,50,5.8,11,5,0,1,33,16,0,223,7.2,1536,18:44,21.0,18,0.0,6.0,0.0,kariypa01
Daymond Langkow,49,2008,31,CGY,C,80,30,35,65,16,19,8.4,15,14,1,4,25,9,1,201,14.9,1506,18:50,37.0,75,357.0,460.0,43.7,langkda01
Zach Parise,50,2008,23,NJD,LW,81,32,33,65,13,25,8.9,21,10,1,8,20,13,0,266,12.0,1463,18:04,30.0,76,50.0,54.0,48.1,parisza01
Cory Stillman,51,2008,34,TOT,LW,79,24,41,65,-15,24,6.0,13,11,0,6,23,18,0,166,14.5,1500,18:59,22.0,69,7.0,10.0,41.2,stillco01
Thomas Vanek,52,2008,24,BUF,LW,82,36,28,64,-5,64,7.8,17,19,0,9,23,5,0,240,15.0,1382,16:51,24.0,45,6.0,7.0,46.2,vanekth01
Pierre-Marc Bouchard,53,2008,23,MIN,RW,81,13,50,63,11,34,6.3,7,6,0,4,31,19,0,129,10.1,1364,16:51,15.0,10,4.0,6.0,40.0,bouchpi02
Petr Sýkora,54,2008,31,PIT,RW,81,28,35,63,1,41,7.3,13,15,0,4,23,12,0,201,13.9,1365,16:51,19.0,26,9.0,6.0,60.0,sykorpe01
Brian Campbell,55,2008,28,TOT,D,83,8,54,62,8,20,10.0,3,5,0,0,26,28,0,142,5.6,2084,25:06,96.0,61,0.0,0.0,,campbbr02
Nathan Horton,56,2008,22,FLA,RW,82,27,35,62,15,85,7.7,18,9,0,3,25,10,0,212,12.7,1537,18:44,24.0,81,29.0,44.0,39.7,hortona01
Brad Richards,57,2008,27,TOT,C,74,20,42,62,-27,15,5.0,9,9,2,4,22,19,1,249,8.0,1736,23:28,22.0,12,514.0,539.0,48.8,richabr01
Patrick Sharp,58,2008,26,CHI,LW,80,36,26,62,23,55,8.9,20,9,7,7,19,5,2,209,17.2,1502,18:47,27.0,50,305.0,289.0,51.3,sharppa01
Mark Streit,59,2008,30,MTL,D,81,13,49,62,-6,28,8.9,6,7,0,3,22,27,0,165,7.9,1419,17:31,62.0,59,0.0,1.0,0.0,streima01
Ray Whitney,60,2008,35,CAR,LW,66,25,36,61,-6,30,6.6,19,6,0,4,12,24,0,204,12.3,1250,18:56,23.0,13,3.0,2.0,60.0,whitnra01
Nikolai Zherdev,61,2008,23,CBJ,RW,82,26,35,61,-9,34,6.8,19,7,0,3,19,15,1,254,10.2,1589,19:22,18.0,37,12.0,17.0,41.4,zherdni01
