Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,-9999
Alexandre Burrows,485,2006,24,VAN,LW,43,7,5,12,5,61,1.3,6,0,1,1,5,0,0,49,14.3,447,10:24,burroal01
Andrew Cassels,486,2006,36,WSH,C,31,4,8,12,-3,14,0.7,2,2,0,0,4,4,0,29,13.8,410,13:13,cassean01
Pierre Dagenais,487,2006,27,MTL,RW,32,5,7,12,-5,16,0.9,3,2,0,1,3,4,0,74,6.8,317,9:55,dagenpi01
Vernon Fiddler,488,2006,25,NSH,C,40,8,4,12,-2,42,0.9,5,3,0,2,3,1,0,46,17.4,553,13:49,fiddlve01
Mike Glumac,489,2006,25,STL,C,33,7,5,12,-8,33,1.0,2,5,0,0,4,1,0,55,12.7,410,12:25,glumami01
Mark Hartigan,490,2006,28,CBJ,C,33,9,3,12,-1,22,1.4,6,3,0,1,2,1,0,54,16.7,384,11:39,hartima01
Alexander Khavanov,491,2006,34,TOR,D,64,6,6,12,-11,60,2.0,3,2,1,0,4,2,0,44,13.6,1096,17:08,khavaal01
Joel Kwiatkowski,492,2006,28,FLA,D,73,4,8,12,3,86,2.5,3,1,0,1,5,2,1,87,4.6,1193,16:21,kwiatjo01
Josh Langfeld,493,2006,28,TOT,RW,57,2,10,12,-2,26,0.2,1,0,1,0,10,0,0,85,2.4,628,11:01,langfjo01
Georges Laraque,494,2006,29,EDM,RW,72,2,10,12,-5,73,0.4,2,0,0,0,10,0,0,50,4.0,474,6:35,laraqge01
Brett Lebda,495,2006,24,DET,D,46,3,9,12,9,20,2.6,2,1,0,1,9,0,0,50,6.0,581,12:38,lebdabr01
Taylor Pyatt,496,2006,24,BUF,LW,41,6,6,12,-1,33,0.9,6,0,0,1,4,2,0,62,9.7,461,11:14,pyattta01
Kyle Wanvig,497,2006,25,MIN,RW,51,4,8,12,-8,64,0.5,3,1,0,0,8,0,0,55,7.3,543,10:39,wanviky01
Chris Chelios*,498,2006,44,DET,D,81,4,7,11,22,108,4.4,2,1,1,0,4,1,2,83,4.8,1497,18:29,chelich01
Jeff Friesen,499,2006,29,TOT,LW,51,4,7,11,-15,32,-0.4,4,0,0,1,5,2,0,75,5.3,682,13:23,friesje01
Denis Gauthier,500,2006,29,TOT,D,62,2,9,11,2,98,2.4,2,0,0,0,9,0,0,56,3.6,1024,16:31,gauthde01
Andrew Hutchinson,501,2006,25,CAR,D,36,3,8,11,-2,18,1.5,1,2,0,0,2,6,0,33,9.1,373,10:22,hutchan01
Milan Jurčina,502,2006,22,BOS,D,51,6,5,11,3,54,2.7,4,2,0,0,5,0,0,64,9.4,840,16:28,jurcimi01
Jon Klemm,503,2006,36,DAL,D,76,4,7,11,-3,60,2.8,3,1,0,1,4,1,2,57,7.0,1287,16:56,klemmjo01
Andrew Ladd,504,2006,20,CAR,LW,29,6,5,11,0,4,1.1,3,3,0,0,4,1,0,43,14.0,324,11:10,laddan01
Kirk Maltby,505,2006,33,DET,RW,82,5,6,11,-9,80,-0.9,4,0,1,0,5,0,1,115,4.3,1126,13:44,maltbki01
Danny Markov,506,2006,29,NSH,D,58,0,11,11,9,62,3.0,0,0,0,0,8,1,2,59,0.0,1134,19:33,markoda01
Richard Matvichuk,507,2006,32,NJD,D,62,1,10,11,2,40,3.0,1,0,0,0,10,0,0,43,2.3,1130,18:13,matviri01
Sean O'Donnell,508,2006,34,TOT,D,78,2,9,11,6,147,3.1,2,0,0,0,8,1,0,33,6.1,1291,16:33,odonnse01
Mark Streit,509,2006,28,MTL,D,48,2,9,11,-6,28,1.6,0,2,0,0,3,6,0,52,3.8,700,14:36,streima01
Mattias Weinhandl,510,2006,25,TOT,RW,68,4,7,11,-4,24,0.3,4,0,0,0,6,1,0,57,7.0,624,9:10,weinhma01
Anton Babchuk,511,2006,21,TOT,D,39,5,5,10,-7,22,1.4,2,3,0,0,1,4,0,56,8.9,577,14:48,babchan01
Blair Betts,512,2006,25,NYR,C,66,8,2,10,-10,24,-0.1,7,0,1,0,2,0,0,94,8.5,853,12:55,bettsbl01
Mariusz Czerkawski,513,2006,33,TOT,RW,35,8,2,10,-6,10,0.7,7,1,0,0,0,2,0,72,11.1,449,12:49,czerkma01
Garnet Exelby,514,2006,24,ATL,D,75,1,9,10,11,75,2.5,1,0,0,0,8,0,1,44,2.3,1176,15:41,exelbga01
Tom Fitzgerald,515,2006,37,BOS,RW,71,4,6,10,-10,40,-0.2,4,0,0,0,5,0,1,50,8.0,671,9:27,fitzgto01
Hal Gill,516,2006,30,BOS,D,80,1,9,10,-4,124,2.2,1,0,0,0,9,0,0,68,1.5,1489,18:37,gillha01
Barret Jackman,517,2006,24,STL,D,63,4,6,10,-6,156,2.8,4,0,0,2,5,1,0,56,7.1,1182,18:46,jackmba01
Willie Mitchell,518,2006,28,TOT,D,80,2,8,10,19,113,5.5,2,0,0,0,8,0,0,58,3.4,1668,20:51,mitchwi01
Erik Rasmussen,519,2006,28,NJD,C,67,5,5,10,-4,32,0.6,4,1,0,0,5,0,0,45,11.1,473,7:04,rasmuer01
Luke Richardson,520,2006,36,TOT,D,65,1,9,10,-19,71,0.8,1,0,0,0,8,1,0,40,2.5,1066,16:24,richalu01
Jani Rita,521,2006,24,TOT,LW,51,6,4,10,-6,10,0.5,6,0,0,0,4,0,0,49,12.2,445,8:43,ritaja01
Mark Rycroft,522,2006,27,STL,LW,80,6,4,10,-14,46,-0.2,5,0,1,2,4,0,0,77,7.8,836,10:27,rycroma01
Christoph Schubert,523,2006,23,OTT,D,56,4,6,10,4,48,2.0,3,0,1,0,5,1,0,72,5.6,622,11:06,schubch01
Jody Shelley,524,2006,29,CBJ,LW,80,3,7,10,-4,163,0.3,3,0,0,1,6,1,0,39,7.7,478,5:58,shelljo01
Jordin Tootoo,525,2006,22,NSH,RW,34,4,6,10,9,55,1.2,4,0,0,0,6,0,0,61,6.6,315,9:15,tootojo01
J.P. Vigier,526,2006,29,ATL,RW,41,4,6,10,-4,40,0.1,2,1,1,0,4,1,1,53,7.5,589,14:21,vigiejp01
Shea Weber,527,2006,20,NSH,D,28,2,8,10,8,42,2.3,0,2,0,1,4,4,0,46,4.3,476,17:00,webersh01
Glen Wesley,528,2006,37,CAR,D,64,2,8,10,10,46,2.5,2,0,0,0,8,0,0,28,7.1,990,15:28,weslegl01
Alexei Zhamnov,529,2006,35,BOS,C,24,1,9,10,-4,30,0.2,1,0,0,1,5,4,0,37,2.7,389,16:12,zhamnal01
Sean Bergenheim,530,2006,21,NYI,LW,28,4,5,9,-11,20,0.2,4,0,0,1,5,0,0,63,6.3,372,13:17,bergese01
Joël Bouchard,531,2006,32,NYI,D,25,1,8,9,5,23,1.9,1,0,0,0,6,2,0,45,2.2,548,21:56,bouchjo01
Eric Boulton,532,2006,29,ATL,LW,51,4,5,9,-4,87,0.6,4,0,0,0,5,0,0,28,14.3,250,4:54,boulter01
Donald Brashear,533,2006,34,PHI,LW,76,4,5,9,-2,166,-0.1,4,0,0,0,5,0,0,73,5.5,653,8:36,brashdo01
Eric Brewer,534,2006,26,STL,D,32,6,3,9,-17,45,1.4,5,1,0,1,1,2,0,64,9.4,751,23:28,breweer01
Gregory Campbell,535,2006,22,FLA,C,64,3,6,9,-11,40,-0.3,3,0,0,0,6,0,0,59,5.1,553,8:38,campbgr01
Jeff Cowan,536,2006,29,LAK,RW,46,8,1,9,-8,73,0.6,8,0,0,0,1,0,0,53,15.1,388,8:26,cowanje01
Rory Fitzpatrick,537,2006,31,BUF,D,56,4,5,9,-18,50,1.0,2,2,0,1,2,3,0,45,8.9,916,16:22,fitzpro02
Ryan Johnson,538,2006,29,STL,C,65,3,6,9,-21,33,-0.7,1,1,1,0,5,0,1,57,5.3,741,11:24,johnsry01
Konstantin Koltsov,539,2006,24,PIT,LW,60,3,6,9,-10,20,-0.7,2,0,1,0,4,1,1,72,4.2,795,13:15,koltsko01
Niklas Kronwall,540,2006,25,DET,D,27,1,8,9,11,28,2.3,0,1,0,0,7,1,0,28,3.6,554,20:31,kronwni01
Ivan Majeský,541,2006,29,WSH,D,57,1,8,9,-2,66,1.3,0,0,1,0,7,0,1,35,2.9,987,17:19,majesiv01
Vladimir Malakhov,542,2006,37,NJD,D,29,4,5,9,-9,26,1.5,1,3,0,0,3,2,0,43,9.3,601,20:44,malakvl01
Brooks Orpik,543,2006,25,PIT,D,64,2,7,9,-3,124,1.6,2,0,0,0,6,1,0,32,6.3,1206,18:50,orpikbr01
Vladimír Országh,544,2006,28,STL,RW,16,4,5,9,-2,14,0.8,3,1,0,0,5,0,0,23,17.4,270,16:52,orszavl01
Nolan Pratt,545,2006,30,TBL,D,82,0,9,9,7,60,3.2,0,0,0,0,9,0,0,26,0.0,1475,17:59,prattno01
