Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,-9999
Josh Green,601,2006,28,VAN,LW,33,4,2,6,2,14,0.5,4,0,0,0,2,0,0,35,11.4,283,8:35,greenjo01
Darius Kasparaitis,602,2006,33,NYR,D,67,0,6,6,7,97,2.4,0,0,0,0,6,0,0,48,0.0,1171,17:28,kaspada01
Mike Komisarek,603,2006,24,MTL,D,71,2,4,6,-1,116,1.9,2,0,0,0,4,0,0,66,3.0,1042,14:40,komismi01
Brad May,604,2006,34,COL,LW,54,3,3,6,-14,82,-0.5,3,0,0,0,3,0,0,55,5.5,453,8:23,maybr01
Dan McGillis,605,2006,33,NJD,D,27,0,6,6,-5,36,0.8,0,0,0,0,4,2,0,32,0.0,384,14:14,mcgilda01
Matt Murley,606,2006,26,PIT,LW,41,1,5,6,-9,24,-0.6,1,0,0,0,4,0,1,48,2.1,470,11:29,murlema01
Garth Murray,607,2006,23,MTL,C,36,5,1,6,-2,44,0.4,5,0,0,1,1,0,0,25,20.0,333,9:15,murraga01
Tyson Nash,608,2006,30,PHX,LW,50,0,6,6,-7,84,-0.6,0,0,0,0,5,0,1,44,0.0,502,10:03,nashty01
Scott Nichol,609,2006,31,NSH,C,34,3,3,6,3,79,0.4,2,0,1,0,3,0,0,32,9.4,357,10:30,nichosc01
Eric Nickulas,610,2006,30,BOS,RW,16,2,4,6,2,8,0.6,2,0,0,0,4,0,0,14,14.3,130,8:08,nickuer01
Niklas Nordgren,611,2006,26,TOT,LW,58,4,2,6,-8,34,-0.1,4,0,0,0,2,0,0,38,10.5,411,7:05,nordgni01
Serge Payer,612,2006,26,FLA,RW,71,2,4,6,-7,26,-0.9,2,0,0,0,4,0,0,70,2.9,702,9:53,payerse01
Patrick Rissmiller,613,2006,27,SJS,C,18,3,3,6,1,8,0.6,2,1,0,1,3,0,0,26,11.5,169,9:22,rissmpa01
Byron Ritchie,614,2006,28,CGY,C,45,4,2,6,-2,69,0.3,4,0,0,0,2,0,0,34,11.8,444,9:52,ritchby01
Jamie Rivers,615,2006,30,TOT,D,33,0,6,6,2,38,1.2,0,0,0,0,2,4,0,36,0.0,495,14:59,riverja01
Mike Rupp,616,2006,26,TOT,LW,40,4,2,6,-3,58,0.2,4,0,0,0,1,0,1,39,10.3,360,9:00,ruppmi01
Mathias Tjärnqvist,617,2006,26,DAL,C,33,2,4,6,4,18,0.5,2,0,0,0,4,0,0,36,5.6,269,8:10,tjarnma01
Rhett Warrener,618,2006,30,CGY,D,61,3,3,6,7,54,3.4,2,0,1,0,2,0,1,40,7.5,1171,19:12,warrerh01
Ian White,619,2006,21,TOR,D,12,1,5,6,2,10,1.1,1,0,0,0,3,2,0,21,4.8,229,19:07,whiteia01
Wojtek Wolski,620,2006,19,COL,LW,9,2,4,6,-5,4,0.4,0,2,0,0,1,3,0,9,22.2,88,9:44,wolskwo01
Dustin Byfuglien,621,2006,20,CHI,D,25,3,2,5,-6,24,0.8,3,0,0,1,2,0,0,45,6.7,433,17:19,byfugdu01
Matt Foy,622,2006,22,MIN,RW,19,2,3,5,-4,16,0.2,1,1,0,0,3,0,0,21,9.5,209,10:59,foyma01
Denis Grebeshkov,623,2006,22,TOT,D,29,0,5,5,-12,20,0.0,0,0,0,0,2,3,0,24,0.0,483,16:39,grebede01
Alex Henry,624,2006,26,MIN,D,63,0,5,5,-4,73,1.5,0,0,0,0,5,0,0,41,0.0,720,11:26,henryal01
Ryan Hollweg,625,2006,22,NYR,C,52,2,3,5,-3,84,-0.1,2,0,0,0,3,0,0,32,6.3,377,7:15,hollwry01
Craig MacDonald,626,2006,28,CGY,C,25,3,2,5,5,8,0.6,2,1,0,0,2,0,0,27,11.1,257,10:16,macdocr01
Brian McGrattan,627,2006,24,OTT,RW,60,2,3,5,0,141,0.2,2,0,0,0,3,0,0,36,5.6,254,4:14,mcgrabr01
Travis Moen,628,2006,23,MDA,LW,39,4,1,5,-3,72,0.0,4,0,0,0,0,1,0,28,14.3,431,11:03,moentr01
George Parros,629,2006,26,LAK,RW,55,2,3,5,1,138,0.2,2,0,0,0,3,0,0,23,8.7,272,4:56,parroge01
Geoff Platt,630,2006,20,CBJ,C,15,0,5,5,-4,16,0.0,0,0,0,0,5,0,0,29,0.0,168,11:12,plattge01
Steve Poapst,631,2006,37,TOT,D,62,0,5,5,-26,47,-0.2,0,0,0,0,5,0,0,23,0.0,1011,16:18,poapsst01
Tuomo Ruutu,632,2006,22,CHI,C,15,2,3,5,-7,31,0.0,1,1,0,0,3,0,0,30,6.7,221,14:43,ruututu01
Bryce Salvador,633,2006,29,STL,D,46,1,4,5,-24,26,0.3,1,0,0,0,2,1,1,23,4.3,911,19:48,salvabr01
Kurt Sauer,634,2006,25,COL,D,37,1,4,5,5,24,1.4,1,0,0,0,4,0,0,19,5.3,474,12:48,sauerku01
Timofei Shishkanov,635,2006,22,STL,RW,22,3,2,5,-1,6,0.5,3,0,0,0,2,0,0,26,11.5,186,8:28,shishti01
Gilbert Brulé,636,2006,19,CBJ,C,7,2,2,4,-2,0,0.4,2,0,0,0,1,1,0,11,18.2,92,13:11,brulegi01
Mark Eaton,637,2006,28,NSH,D,69,3,1,4,-2,44,2.0,3,0,0,0,0,0,1,28,10.7,1361,19:43,eatonma01
Eric Godard,638,2006,25,NYI,RW,57,2,2,4,-2,115,0.2,2,0,0,0,2,0,0,17,11.8,203,3:34,godarer01
David Hale,639,2006,24,NJD,D,38,0,4,4,5,21,1.5,0,0,0,0,4,0,0,19,0.0,458,12:03,haleda01
Cale Hulse,640,2006,32,TOT,D,39,0,4,4,-8,63,0.5,0,0,0,0,4,0,0,34,0.0,596,15:18,hulseca01
Jakub Klepiš,641,2006,21,WSH,C,25,1,3,4,-11,8,-0.3,1,0,0,0,2,1,0,26,3.8,185,7:25,klepija01
Dan LaCouture,642,2006,28,BOS,LW,55,2,2,4,-6,53,-0.3,1,0,1,0,2,0,0,37,5.4,344,6:15,lacouda01
Jason Marshall,643,2006,34,MDA,D,23,0,4,4,2,34,0.8,0,0,0,0,4,0,0,25,0.0,271,11:46,marshja02
John Pohl,644,2006,26,TOR,RW,7,3,1,4,2,4,0.6,2,1,0,0,1,0,0,17,17.6,89,12:47,pohljo01
Rob Scuderi,645,2006,27,PIT,D,57,0,4,4,-18,36,-0.2,0,0,0,0,4,0,0,28,0.0,1154,20:15,scudero01
Alexei Semenov,646,2006,24,TOT,D,27,2,2,4,-4,38,0.6,1,1,0,0,2,0,0,16,12.5,320,11:51,semenal01
Yan Stastny,647,2006,23,TOT,C,20,1,3,4,-4,10,0.0,1,0,0,0,3,0,0,14,7.1,195,9:46,stastya01
Turner Stevenson,648,2006,33,PHI,RW,31,1,3,4,-2,45,-0.1,0,0,1,0,2,0,1,26,3.8,258,8:20,stevetu01
Petr Sýkora,649,2006,27,WSH,C,10,2,2,4,0,6,0.4,2,0,0,0,2,0,0,9,22.2,107,10:41,sykorpe02
Jeff Tambellini,650,2006,21,TOT,LW,25,1,3,4,1,10,0.1,1,0,0,0,3,0,0,17,5.9,246,9:49,tambeje01
Chris Therien,651,2006,34,PHI,D,47,0,4,4,-7,34,0.2,0,0,0,0,4,0,0,16,0.0,647,13:45,therich01
Ossi Väänänen,652,2006,25,COL,D,53,0,4,4,10,56,1.7,0,0,0,0,4,0,0,34,0.0,719,13:34,vaanaos01
Noah Welch,653,2006,23,PIT,D,5,1,3,4,0,2,0.5,1,0,0,0,1,2,0,5,20.0,87,17:24,welchno01
Jason Wiemer,654,2006,29,TOT,LW,49,2,2,4,-4,103,-0.1,2,0,0,0,2,0,0,37,5.4,396,8:05,wiemeja01
Mikhail Yakubov,655,2006,23,TOT,C,23,1,3,4,-1,12,0.0,1,0,0,1,3,0,0,27,3.7,222,9:38,yakubmi01
Kris Beech,656,2006,24,TOT,C,10,1,2,3,1,4,0.2,1,0,0,0,1,1,0,12,8.3,120,12:02,beechkr01
Wade Belak,657,2006,29,TOR,D,55,0,3,3,-13,109,-0.1,0,0,0,0,3,0,0,16,0.0,549,9:59,belakwa01
Wade Brookbank,658,2006,28,VAN,D,32,1,2,3,3,81,0.8,1,0,0,0,2,0,0,10,10.0,158,4:56,brookwa01
Lee Goren,659,2006,28,VAN,RW,28,1,2,3,-6,30,-0.2,1,0,0,1,2,0,0,37,2.7,207,7:25,gorenle01
Mike Green,660,2006,20,WSH,D,22,1,2,3,-8,18,0.0,1,0,0,0,1,1,0,13,7.7,328,14:54,greenmi03
Shane Hnidy,661,2006,30,ATL,D,66,0,3,3,1,33,0.7,0,0,0,0,3,0,0,50,0.0,675,10:14,hnidysh01
Krys Kolanos,662,2006,24,TOT,C,15,2,1,3,1,4,0.3,1,1,0,0,1,0,0,22,9.1,149,9:57,kolankr01
Maxim Kondratiev,663,2006,23,NYR,D,29,1,2,3,-2,22,0.8,0,1,0,0,2,0,0,16,6.3,472,16:17,kondrma01
Andrei Kostitsyn,664,2006,20,MTL,RW,12,2,1,3,1,2,0.4,2,0,0,0,1,0,0,9,22.2,90,7:32,kostian01
Bryan Marchment,665,2006,36,CGY,D,37,1,2,3,8,75,1.8,1,0,0,0,2,0,0,16,6.3,485,13:07,marchbr02
Norm Milley,666,2006,25,TBL,RW,14,2,1,3,-2,4,0.2,1,1,0,0,1,0,0,12,16.7,100,7:09,milleno01
Jiří Novotný,667,2006,22,BUF,C,14,2,1,3,-5,0,0.0,1,0,1,0,1,0,0,15,13.3,171,12:15,novotji01
Daniel Paille,668,2006,21,BUF,LW,14,1,2,3,5,2,0.3,1,0,0,0,2,0,0,15,6.7,145,10:24,paillda01
Nathan Perrott,669,2006,29,TOT,RW,26,2,1,3,-3,56,0.1,2,0,0,1,1,0,0,19,10.5,143,5:30,perrona01
Jamie Pushor,670,2006,32,CBJ,D,4,1,2,3,1,0,0.6,1,0,0,0,2,0,0,2,50.0,73,18:13,pushoja01
Andy Roach,671,2006,32,STL,D,5,1,2,3,0,10,0.5,0,1,0,0,0,2,0,2,50.0,72,14:20,roachan01
André Roy,672,2006,30,PIT,LW,42,2,1,3,-3,116,0.0,2,0,0,1,1,0,0,11,18.2,212,5:03,royan01
Todd Simpson,673,2006,32,TOT,D,51,0,3,3,-2,130,0.9,0,0,0,0,3,0,0,31,0.0,685,13:25,simpsto01
Anthony Stewart,674,2006,21,FLA,C,10,2,1,3,2,2,0.4,1,1,0,0,1,0,0,16,12.5,72,7:13,stewaan01
Bill Thomas,675,2006,22,PHX,RW,9,1,2,3,-2,8,0.1,0,1,0,0,2,0,0,15,6.7,122,13:30,thomabi01
Ramzi Abid,676,2006,25,ATL,LW,6,0,2,2,1,6,0.1,0,0,0,0,2,0,0,6,0.0,49,8:10,abidra01
Tyler Bouck,677,2006,26,VAN,RW,12,1,1,2,0,21,0.2,1,0,0,0,1,0,0,6,16.7,76,6:22,bouckty01
Eric Cairns,678,2006,31,TOT,D,50,1,1,2,1,124,0.6,1,0,0,0,1,0,0,19,5.3,327,6:33,cairner01
Ryane Clowe,679,2006,23,SJS,RW,18,0,2,2,-2,9,-0.2,0,0,0,0,2,0,0,14,0.0,174,9:40,clowery01
Rob Collins,680,2006,27,NYI,C,8,1,1,2,1,0,0.2,0,1,0,0,1,0,0,8,12.5,52,6:27,colliro01
Jeremy Colliton,681,2006,21,NYI,C,19,1,1,2,2,6,0.2,1,0,0,0,1,0,0,9,11.1,120,6:18,collije01
Shane Endicott,682,2006,24,PIT,C,41,1,1,2,-9,43,-1.0,0,0,1,0,1,0,0,44,2.3,480,11:43,endicsh01
Jim Fahey,683,2006,26,SJS,D,21,0,2,2,-11,14,-0.4,0,0,0,0,2,0,0,22,0.0,266,12:39,faheyji01
Tomáš Fleischmann,684,2006,21,WSH,C,14,0,2,2,-7,0,-0.3,0,0,0,0,1,1,0,11,0.0,95,6:45,fleisto01
Matt Greene,685,2006,22,EDM,D,27,0,2,2,-6,43,0.1,0,0,0,0,2,0,0,10,0.0,303,11:13,greenma01
Jarkko Immonen,686,2006,23,NYR,C,6,2,0,2,-1,0,0.2,1,1,0,0,0,0,0,8,25.0,62,10:15,immonja01
Matt Jones,687,2006,22,PHX,D,16,0,2,2,-2,14,0.2,0,0,0,0,2,0,0,10,0.0,185,11:35,jonesma01
Donald MacLean,688,2006,29,DET,C,3,1,1,2,2,0,0.3,0,1,0,1,1,0,0,3,33.3,38,12:45,macledo01
Steve Martins,689,2006,33,OTT,C,4,1,1,2,2,0,0.3,1,0,0,0,1,0,0,6,16.7,31,7:50,martist02
Ian Moran,690,2006,33,BOS,D,12,1,1,2,0,10,0.5,1,0,0,0,1,0,0,7,14.3,173,14:25,morania01
Jason Morgan,691,2006,29,CHI,C,7,1,1,2,1,6,0.2,1,0,0,0,1,0,0,6,16.7,71,10:06,morgaja01
Rem Murray,692,2006,33,EDM,C,9,1,1,2,1,2,0.2,1,0,0,0,1,0,0,6,16.7,70,7:49,murrare01
Petteri Nokelainen,693,2006,20,NYI,C,15,1,1,2,-1,4,0.0,1,0,0,1,1,0,0,13,7.7,117,7:47,nokelpe01
Joel Perrault,694,2006,22,PHX,C,5,1,1,2,0,2,0.2,1,0,0,0,1,0,0,7,14.3,57,11:29,perrajo01
Tuomas Pihlman,695,2006,23,NJD,LW,11,1,1,2,-1,10,0.1,1,0,0,0,1,0,0,14,7.1,111,10:04,pihlmtu01
Thomas Pöck,696,2006,24,NYR,D,8,1,1,2,-3,4,0.2,1,0,0,0,1,0,0,15,6.7,121,15:10,pockth01
Richie Regehr,697,2006,23,CGY,D,14,0,2,2,0,6,0.5,0,0,0,0,2,0,0,12,0.0,159,11:21,regehri01
Peter Sejna,698,2006,26,STL,LW,6,1,1,2,1,4,0.2,1,0,0,0,1,0,0,9,11.1,70,11:43,sejnape01
Mark Stuart,699,2006,21,BOS,D,17,1,1,2,-1,10,0.5,1,0,0,0,1,0,0,9,11.1,302,17:46,stuarma01
Barry Tallackson,700,2006,22,NJD,RW,10,1,1,2,-2,2,0.1,1,0,0,0,1,0,0,11,9.1,81,8:04,tallaba01
Matt Walker,701,2006,25,STL,D,54,0,2,2,-7,79,0.9,0,0,0,0,2,0,0,59,0.0,770,14:15,walkema01
Jeff Woywitka,702,2006,22,STL,D,26,0,2,2,-12,25,-0.3,0,0,0,0,2,0,0,23,0.0,277,10:38,woywije01
Greg Zanon,703,2006,25,NSH,D,4,0,2,2,0,6,0.3,0,0,0,0,1,0,1,3,0.0,69,17:19,zanongr01
Jamie Allison,704,2006,30,TOT,D,27,0,1,1,-6,56,-0.1,0,0,0,0,1,0,0,7,0.0,243,8:59,allisja01
Keith Aucoin,705,2006,27,CAR,C,7,0,1,1,-4,4,-0.1,0,0,0,0,1,0,0,3,0.0,37,5:19,aucoike01
Jozef Balej,706,2006,23,VAN,RW,1,0,1,1,1,0,0.1,0,0,0,0,1,0,0,3,0.0,8,7:56,balejjo01
Michal Barinka,707,2006,21,CHI,D,25,0,1,1,-7,20,-0.1,0,0,0,0,1,0,0,19,0.0,366,14:38,barinmi01
Kip Brennan,708,2006,25,MDA,LW,12,0,1,1,-2,35,-0.1,0,0,0,0,1,0,0,5,0.0,51,4:16,brennki01
Mike Brown,709,2006,26,CHI,LW,2,0,1,1,0,9,0.1,0,0,0,0,1,0,0,1,0.0,12,5:52,brownmi01
Matt Carkner,710,2006,25,SJS,D,1,0,1,1,0,2,0.1,0,0,0,0,1,0,0,0,,6,6:01,carknma01
Braydon Coburn,711,2006,20,ATL,D,9,0,1,1,-2,4,0.0,0,0,0,0,0,1,0,4,0.0,69,7:43,coburbr01
Chris Dingman,712,2006,29,TBL,LW,34,0,1,1,-10,22,-0.6,0,0,0,0,1,0,0,24,0.0,187,5:29,dingmch01
John Erskine,713,2006,25,TOT,D,60,1,0,1,-15,161,-0.1,1,0,0,0,0,0,0,32,3.1,783,13:03,erskijo01
Jonathan Ferland,714,2006,22,MTL,RW,7,1,0,1,-2,2,0.0,1,0,0,0,0,0,0,9,11.1,46,6:37,ferlajo01
Valtteri Filppula,715,2006,21,DET,C,4,0,1,1,1,2,0.1,0,0,0,0,1,0,0,1,0.0,29,7:19,filppva01
Steve Gainey,716,2006,27,PHX,LW,20,0,1,1,-3,20,-0.3,0,0,0,0,1,0,0,11,0.0,165,8:14,gainest01
Mark Giordano,717,2006,22,CGY,D,7,0,1,1,2,8,0.4,0,0,0,0,0,1,0,5,0.0,85,12:05,giordma01
Rob Globke,718,2006,23,FLA,RW,18,1,0,1,0,6,-0.1,1,0,0,0,0,0,0,18,5.6,131,7:17,globkro01
Boyd Gordon,719,2006,22,WSH,RW,25,0,1,1,-4,4,-0.6,0,0,0,0,1,0,0,12,0.0,292,11:40,gordobo01
David Gove,720,2006,27,CAR,C,1,0,1,1,2,0,0.2,0,0,0,0,1,0,0,0,,7,7:12,goveda01
Josh Gratton,721,2006,23,TOT,LW,14,1,0,1,-3,44,-0.1,1,0,0,0,0,0,0,17,5.9,103,7:21,grattjo01
Denis Hamel,722,2006,28,OTT,LW,4,1,0,1,1,0,0.2,1,0,0,0,0,0,0,9,11.1,37,9:10,hamelde01
Jay Harrison,723,2006,23,TOR,D,8,0,1,1,5,2,0.6,0,0,0,0,1,0,0,7,0.0,151,18:50,harrija01
Timo Helbling,724,2006,24,TBL,D,9,0,1,1,-3,6,0.0,0,0,0,0,1,0,0,2,0.0,93,10:19,helblti01
Brett Hull*,725,2006,41,PHX,RW,5,0,1,1,-3,0,-0.1,0,0,0,0,0,1,0,8,0.0,69,13:45,hullbr01
Matt Hussey,726,2006,26,PIT,C,13,0,1,1,-5,0,-0.4,0,0,0,0,1,0,0,17,0.0,134,10:17,hussema01
Greg Jacina,727,2006,23,FLA,C,11,0,1,1,-1,4,-0.1,0,0,0,0,1,0,0,10,0.0,64,5:50,jacingr01
Boyd Kane,728,2006,27,WSH,LW,5,0,1,1,1,2,0.1,0,0,0,0,1,0,0,1,0.0,20,4:04,kanebo01
Petr Kanko,729,2006,21,LAK,RW,10,1,0,1,1,0,0.1,1,0,0,0,0,0,0,7,14.3,47,4:42,kankope01
Staffan Kronwall,730,2006,23,TOR,D,34,0,1,1,-3,14,0.3,0,0,0,0,1,0,0,18,0.0,440,12:57,kronwst01
Darren Langdon,731,2006,35,NJD,LW,14,0,1,1,-3,22,-0.1,0,0,0,0,1,0,0,2,0.0,46,3:17,langdda01
Yanick Lehoux,732,2006,23,PHX,C,3,1,0,1,1,2,0.2,1,0,0,0,0,0,0,5,20.0,29,9:50,lehouya01
Junior Lessard,733,2006,25,DAL,RW,5,1,0,1,0,12,0.1,1,0,0,0,0,0,0,6,16.7,37,7:23,lessaju01
Derek MacKenzie,734,2006,24,ATL,C,11,0,1,1,0,8,0.0,0,0,0,0,1,0,0,11,0.0,72,6:33,mackede01
Branislav Mezei,735,2006,25,FLA,D,16,0,1,1,3,37,0.5,0,0,0,0,1,0,0,13,0.0,308,19:17,mezeibr01
Tomáš Mojžíš,736,2006,23,VAN,D,7,0,1,1,2,12,0.3,0,0,0,0,1,0,0,7,0.0,98,13:57,mojzito01
Douglas Murray,737,2006,25,SJS,D,34,0,1,1,3,27,0.8,0,0,0,0,1,0,0,21,0.0,472,13:53,murrado01
Lyle Odelein,738,2006,37,PIT,D,27,0,1,1,-10,50,-0.4,0,0,0,0,1,0,0,17,0.0,438,16:13,odelely01
Colton Orr,739,2006,23,TOT,RW,35,0,1,1,1,71,0.0,0,0,0,0,1,0,0,1,0.0,101,2:53,orrco01
Nathan Paetsch,740,2006,22,BUF,D,1,0,1,1,-1,0,0.0,0,0,0,0,0,1,0,0,,16,15:38,paetsna01
Scott Parker,741,2006,28,SJS,LW,10,1,0,1,3,38,0.2,1,0,0,0,0,0,0,6,16.7,56,5:39,parkesc01
Ryan Potulny,742,2006,21,PHI,C,2,0,1,1,1,0,0.1,0,0,0,0,1,0,0,0,,12,6:09,potulry01
Marc Pouliot,743,2006,20,EDM,C,8,1,0,1,1,0,0.1,1,0,0,0,0,0,0,5,20.0,68,8:30,poulima01
Konstantin Pushkarev,744,2006,20,LAK,RW,1,0,1,1,0,0,0.1,0,0,0,0,1,0,0,0,,10,9:33,pushkko01
Ryan Ready,745,2006,27,PHI,LW,7,0,1,1,0,0,0.0,0,0,0,0,1,0,0,9,0.0,57,8:08,readyry01
Darren Reid,746,2006,22,TBL,RW,7,0,1,1,-2,0,0.0,0,0,0,0,1,0,0,3,0.0,40,5:41,reidda03
Danny Richmond,747,2006,21,TOT,D,20,0,1,1,-6,25,-0.2,0,0,0,0,1,0,0,13,0.0,226,11:18,richmda01
Allan Rourke,748,2006,25,NYI,D,6,0,1,1,1,0,0.3,0,0,0,0,1,0,0,2,0.0,103,17:15,rourkal01
Matt Ryan,749,2006,22,LAK,C,12,0,1,1,-4,2,-0.2,0,0,0,0,1,0,0,8,0.0,73,6:07,ryanma01
Rick Rypien,750,2006,21,VAN,C,5,1,0,1,1,4,0.2,1,0,0,0,0,0,0,6,16.7,32,6:19,rypieri01
Matthew Spiller,751,2006,22,PHX,D,8,0,1,1,-1,13,0.1,0,0,0,0,1,0,0,3,0.0,84,10:30,spillma01
Bruno St. Jacques,752,2006,25,MDA,D,1,1,0,1,1,0,0.3,1,0,0,0,0,0,0,2,50.0,14,13:53,stjacbr01
Alexander Suglobov,753,2006,24,TOT,RW,3,1,0,1,-3,0,0.0,0,1,0,0,0,0,0,5,20.0,36,11:59,sugloal01
Nick Tarnasky,754,2006,21,TBL,C,12,0,1,1,-3,4,-0.1,0,0,0,0,1,0,0,9,0.0,56,4:40,tarnani01
Chris Thorburn,755,2006,22,BUF,C,2,0,1,1,-1,7,0.0,0,0,0,0,1,0,0,1,0.0,14,6:52,thorbch01
Ryan VandenBussche,756,2006,32,PIT,RW,20,1,0,1,0,42,0.0,1,0,0,0,0,0,0,5,20.0,87,4:20,vandery01
Erik Westrum,757,2006,26,MIN,C,10,0,1,1,-1,2,-0.1,0,0,0,0,0,1,0,16,0.0,108,10:48,westrer01
Jeremy Williams,758,2006,22,TOR,C,1,1,0,1,0,0,0.2,1,0,0,0,0,0,0,1,100.0,10,9:31,willije01
Brad Winchester,759,2006,24,EDM,LW,19,0,1,1,-2,21,-0.2,0,0,0,0,1,0,0,19,0.0,116,6:05,winchbr01
Chad Wiseman,760,2006,24,NYR,LW,1,0,1,1,2,4,0.2,0,0,0,0,1,0,0,1,0.0,9,8:47,wisemch01
Andy Wozniewski,761,2006,25,TOR,D,13,0,1,1,-8,13,-0.3,0,0,0,0,1,0,0,6,0.0,233,17:55,woznian01
Mike Zigomanis,762,2006,25,TOT,C,23,1,0,1,1,4,-0.2,1,0,0,0,0,0,0,17,5.9,213,9:16,zigommi01
Cam Barker,763,2006,19,CHI,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,11,11:02,barkeca01
Scott Barney,764,2006,26,ATL,C,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0.0,20,6:45,barnesc01
Ken Belanger,765,2006,31,LAK,LW,5,0,0,0,-1,7,-0.1,0,0,0,0,0,0,0,0,,18,3:39,belanke01
Brendan Bell,766,2006,22,TOR,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,14,14:00,bellbr02
Zdeněk Blatný,767,2006,25,BOS,LW,5,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,3,0.0,26,5:08,blatnzd01
Jesse Boulerice,768,2006,27,TOT,RW,38,0,0,0,-7,64,-0.4,0,0,0,0,0,0,0,5,0.0,97,2:33,bouleje01
Pavel Brendl,769,2006,24,PHX,RW,2,0,0,0,-3,0,-0.1,0,0,0,0,0,0,0,3,0.0,18,8:54,brendpa01
Kyle Brodziak,770,2006,21,EDM,C,10,0,0,0,-4,4,-0.3,0,0,0,0,0,0,0,7,0.0,110,11:02,brodzky01
Sven Butenschön,771,2006,29,VAN,D,8,0,0,0,1,10,0.2,0,0,0,0,0,0,0,4,0.0,113,14:05,butensv01
Ryan Caldwell,772,2006,24,NYI,D,2,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,2,0.0,33,16:33,caldwry01
Jim Campbell,773,2006,32,TBL,RW,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,9,8:47,campbji01
Eric Chouinard,774,2006,25,PHI,C,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,5,4:30,chouier01
Noah Clarke,775,2006,26,LAK,LW,5,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,3,0.0,37,7:23,clarkno02
Kevin Colley,776,2006,27,NYI,C,16,0,0,0,-2,52,-0.2,0,0,0,0,0,0,0,4,0.0,76,4:44,colleke01
Jean-Philippe Côté,777,2006,23,MTL,D,8,0,0,0,2,4,0.3,0,0,0,0,0,0,0,2,0.0,88,11:02,coteje01
Éric Dazé,778,2006,30,CHI,LW,1,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,0,,12,11:56,dazeer01
Andy Delmore,779,2006,29,CBJ,D,7,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,7,0.0,108,15:24,delmoan01
Jon DiSalvatore,780,2006,24,STL,RW,5,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,3,0.0,42,8:27,disaljo01
Doug Doull,781,2006,31,WSH,C,2,0,0,0,-1,19,-0.1,0,0,0,0,0,0,0,0,,8,3:57,doulldo01
Fedor Fedorov,782,2006,24,NYR,RW,3,0,0,0,0,6,-0.1,0,0,0,0,0,0,0,2,0.0,29,9:49,fedorfe01
Eric Fehr,783,2006,20,WSH,RW,11,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,10,0.0,63,5:45,fehrer01
Scott Ferguson,784,2006,33,MIN,D,15,0,0,0,-3,22,0.0,0,0,0,0,0,0,0,6,0.0,138,9:11,fergusc01
Ryan Flinn,785,2006,25,LAK,LW,2,0,0,0,0,5,0.0,0,0,0,0,0,0,0,0,,1,0:25,flinnry01
Colin Forbes,786,2006,29,WSH,LW,9,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,10,0.0,74,8:16,forbeco01
Aaron Gavey,787,2006,31,MDA,C,5,0,0,0,0,2,0.0,0,0,0,0,0,0,0,2,0.0,20,4:03,gaveyaa01
Carsen Germyn,788,2006,23,CGY,C,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,10,5:00,germyca01
Trevor Gillies,789,2006,27,MDA,LW,1,0,0,0,0,21,0.0,0,0,0,0,0,0,0,1,0.0,3,2:40,gillitr01
Alexandre Giroux,790,2006,24,NYR,LW,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,,3,2:50,giroual01
Steven Goertzen,791,2006,21,CBJ,RW,39,0,0,0,-17,44,-1.2,0,0,0,0,0,0,0,23,0.0,333,8:32,goertst01
Ben Guite,792,2006,27,BOS,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,9,8:53,guitebe01
Eric Healey,793,2006,31,BOS,LW,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0,17,8:28,healeer01
Paul Healey,794,2006,30,COL,RW,2,0,0,0,0,14,0.0,0,0,0,0,0,0,0,0,,11,5:33,healepa01
Colin Hemingway,795,2006,25,STL,RW,3,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,22,7:18,heminco01
Jiří Hudler,796,2006,22,DET,C,4,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,3,0.0,29,7:13,hudleji01
Raitis Ivanāns,797,2006,27,MTL,D,4,0,0,0,-1,9,-0.1,0,0,0,0,0,0,0,0,,12,2:58,ivanara01
Tim Jackman,798,2006,24,PHX,RW,8,0,0,0,1,21,-0.1,0,0,0,0,0,0,0,4,0.0,58,7:13,jackmti01
