Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
Evgeni Malkin,1,2009,22,PIT,C,82,35,78,113,17,80,12.6,19,14,2,4,51,27,0,290,12.1,1846,22:31,39,80,283,385,42.4,malkiev01
Alex Ovechkin,2,2009,23,WSH,LW,79,56,54,110,8,72,14.5,36,19,1,10,27,27,0,528,10.6,1817,23:00,32,243,8,24,25.0,ovechal01
Sidney Crosby,3,2009,21,PIT,C,77,33,70,103,3,76,11.1,26,7,0,3,36,33,1,238,13.9,1690,21:57,42,80,829,786,51.3,crosbsi01
Pavel Datsyuk,4,2009,30,DET,C,81,32,65,97,34,22,11.5,20,11,1,3,39,25,1,248,12.9,1556,19:13,33,75,621,489,55.9,datsypa01
Zach Parise,5,2009,24,NJD,LW,82,45,49,94,30,24,12.8,31,14,0,8,30,16,3,364,12.4,1538,18:45,17,65,54,66,45.0,parisza01
Ryan Getzlaf,6,2009,23,ANA,C,81,25,66,91,5,121,9.2,16,9,0,2,38,28,0,227,11.0,1631,20:08,43,134,566,562,50.2,getzlry01
Ilya Kovalchuk,7,2009,25,ATL,LW,79,43,48,91,-12,50,10.3,31,12,0,6,23,24,1,275,15.6,1723,21:48,15,43,5,9,35.7,kovalil01
Jarome Iginla*,8,2009,31,CGY,RW,82,35,54,89,-2,37,9.5,25,10,0,4,32,22,0,289,12.1,1772,21:37,15,80,262,235,52.7,iginlja01
Nicklas Bäckström,9,2009,21,WSH,C,82,22,66,88,16,46,9.2,8,14,0,1,38,28,0,174,12.6,1635,19:57,46,52,570,601,48.7,backsni02
Marc Savard,10,2009,31,BOS,C,82,25,63,88,25,70,9.8,16,9,0,5,40,21,2,213,11.7,1602,19:32,19,24,635,641,49.8,savarma01
Joe Thornton,11,2009,29,SJS,C,82,25,61,86,16,56,9.5,14,11,0,3,37,24,0,139,18.0,1596,19:28,24,81,718,577,55.4,thornjo01
Jeff Carter,12,2009,24,PHI,C,82,46,38,84,23,68,11.7,29,13,4,12,27,11,0,342,13.5,1718,20:57,53,54,833,892,48.3,carteje01
Mike Cammalleri,13,2009,26,CGY,LW,81,39,43,82,-2,44,9.8,20,19,0,6,28,15,0,255,15.3,1422,17:33,18,21,217,143,60.3,cammami01
Daniel Sedin*,14,2009,28,VAN,LW,82,31,51,82,24,36,9.9,22,9,0,7,36,15,0,285,10.9,1541,18:48,15,13,14,19,42.4,sedinda01
Henrik Sedin*,15,2009,28,VAN,C,82,22,60,82,22,48,8.7,18,4,0,8,38,22,0,143,15.4,1601,19:31,16,17,664,682,49.3,sedinhe01
Mike Richards,16,2009,23,PHI,C,79,30,50,80,22,63,9.4,15,8,7,4,23,25,2,238,12.6,1717,21:44,90,147,813,847,49.0,richami02
Martin St. Louis*,17,2009,33,TBL,RW,82,30,50,80,4,14,8.4,21,7,2,3,31,18,1,262,11.5,1745,21:17,48,17,14,16,46.7,stlouma01
Rick Nash,18,2009,24,CBJ,LW,78,40,39,79,11,52,10.1,29,6,5,5,25,13,1,263,15.2,1650,21:10,29,71,5,13,27.8,nashri01
Alexander Semin,19,2009,24,WSH,RW,62,34,45,79,25,77,10.7,26,8,0,8,21,22,2,223,15.2,1193,19:14,10,22,12,12,50.0,seminal01
Patrik Eliáš,20,2009,32,NJD,LW,77,31,47,78,18,32,9.4,17,12,2,6,25,19,3,247,12.6,1430,18:34,17,51,26,61,29.9,eliaspa01
Mike Ribeiro,21,2009,28,DAL,C,82,22,56,78,-4,52,7.1,15,7,0,1,40,16,0,163,13.5,1718,20:57,28,117,563,677,45.4,ribeimi01
Martin Havlát,22,2009,27,CHI,RW,81,29,48,77,29,30,9.5,24,5,0,5,39,9,0,249,11.6,1410,17:25,12,19,2,6,25.0,havlama01
Ray Whitney,23,2009,36,CAR,LW,82,24,53,77,2,32,8.2,17,7,0,2,30,23,0,219,11.0,1510,18:25,26,27,2,2,50.0,whitnra01
Vyacheslav Kozlov,24,2009,36,ATL,LW,82,26,50,76,-14,44,7.4,14,12,0,3,19,31,0,165,15.8,1413,17:14,17,37,3,5,37.5,kozlovy01
Eric Staal,25,2009,24,CAR,C,82,40,35,75,15,50,9.8,25,14,1,8,24,10,1,372,10.8,1726,21:03,37,61,718,868,45.3,staaler01
Daniel Alfredsson*,26,2009,36,OTT,RW,79,24,50,74,7,24,8.1,15,8,1,3,27,20,3,204,11.8,1649,20:53,33,57,4,13,23.5,alfreda01
Simon Gagné,27,2009,28,PHI,LW,79,34,40,74,21,42,9.6,18,12,4,3,23,13,4,221,15.4,1503,19:01,28,27,3,7,30.0,gagnesi01
Shane Doan,28,2009,32,PHX,RW,82,31,42,73,5,72,8.3,21,10,0,4,25,15,2,230,13.5,1660,20:15,32,188,159,201,44.2,doansh01
Mike Green,29,2009,23,WSH,D,68,31,42,73,24,68,13.9,12,18,1,4,22,20,0,243,12.8,1752,25:46,110,86,0,0,,greenmi03
David Krejčí,30,2009,22,BOS,C,82,22,51,73,37,26,8.8,15,5,2,6,35,14,2,146,15.1,1382,16:52,46,74,526,517,50.4,krejcda01
Jason Spezza,31,2009,25,OTT,C,82,32,41,73,-14,79,8.1,18,13,1,3,23,18,0,246,13.0,1615,19:41,22,26,787,690,53.3,spezzja01
Todd White,32,2009,33,ATL,C,82,22,51,73,-9,24,6.7,9,12,1,0,29,22,0,150,14.7,1481,18:04,33,39,673,656,50.6,whiteto02
Henrik Zetterberg,33,2009,28,DET,C,77,31,42,73,13,36,8.1,17,12,2,5,24,18,0,309,10.0,1531,19:53,31,54,624,546,53.3,zettehe01
Brad Boyes,34,2009,26,STL,RW,82,33,39,72,-20,26,7.9,17,16,0,11,20,19,0,220,15.0,1570,19:08,20,49,155,160,49.2,boyesbr01
Dany Heatley,35,2009,28,OTT,LW,82,39,33,72,-11,88,8.8,24,15,0,6,22,11,0,258,15.1,1649,20:07,24,87,14,16,46.7,heatlda01
