Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
Leon Draisaitl,1,2020,24,EDM,C,71,43,67,110,-7,18,12.8,27,16,0,10,39,28,0,218,19.7,1605,22:37,19,27,662,608,52.1,draisle01
Connor McDavid,2,2020,23,EDM,C,64,34,63,97,-6,28,10.9,23,11,0,6,31,32,0,212,16.0,1399,21:52,18,37,320,350,47.8,mcdavco01
David Pastrňák,3,2020,23,BOS,RW,70,48,47,95,21,40,13.2,28,20,0,10,29,18,0,279,17.2,1327,18:58,22,47,7,11,38.9,pastrda01
Artemi Panarin,4,2020,28,NYR,LW,69,32,63,95,36,20,11.4,25,7,0,4,46,17,0,209,15.3,1422,20:36,18,25,1,1,50.0,panarar01
Nathan MacKinnon,5,2020,24,COL,C,69,35,58,93,13,12,10.8,23,12,0,4,39,19,0,318,11.0,1464,21:13,31,51,363,478,43.2,mackina01
Brad Marchand,6,2020,31,BOS,LW,70,28,59,87,25,82,10.4,22,5,1,5,34,23,2,185,15.1,1362,19:27,19,55,22,29,43.1,marchbr03
Nikita Kucherov,7,2020,26,TBL,RW,68,33,52,85,26,38,10.5,29,4,0,6,31,21,0,210,15.7,1283,18:52,19,37,0,1,0.0,kucheni01
Patrick Kane,8,2020,31,CHI,RW,70,33,51,84,8,40,9.6,25,8,0,2,36,15,0,275,12.0,1494,21:20,19,24,1,3,25.0,kanepa01
Auston Matthews,9,2020,22,TOR,C,70,47,33,80,19,8,10.8,35,12,0,5,20,13,0,290,16.2,1468,20:58,60,40,506,415,54.9,matthau01
Jonathan Huberdeau,10,2020,26,FLA,LW,69,23,55,78,5,30,8.0,18,5,0,3,31,24,0,152,15.1,1295,18:46,26,51,24,37,39.3,huberjo01
Jack Eichel,11,2020,23,BUF,C,68,36,42,78,5,34,9.5,24,11,1,9,26,16,0,227,15.9,1503,22:06,42,40,615,696,46.9,eicheja01
John Carlson,12,2020,30,WSH,D,69,15,60,75,12,26,10.7,13,2,0,6,36,24,0,189,7.9,1700,24:38,108,55,0,1,0.0,carlsjo01
Mika Zibanejad,13,2020,26,NYR,C,57,41,34,75,9,14,9.7,23,15,3,6,20,12,2,208,19.7,1233,21:38,49,51,592,612,49.2,zibanmi01
Evgeni Malkin,14,2020,33,PIT,C,55,25,49,74,7,58,8.5,18,7,0,5,32,17,0,171,14.6,1074,19:31,22,38,441,435,50.3,malkiev01
Kyle Connor,15,2020,23,WPG,LW,71,38,35,73,4,34,8.7,28,9,1,7,26,8,1,239,15.9,1497,21:05,17,18,2,11,15.4,connoky01
Mark Scheifele,16,2020,26,WPG,C,71,29,44,73,2,45,7.6,19,10,0,6,34,10,0,170,17.1,1548,21:48,49,34,605,685,46.9,scheima01
J.T. Miller,17,2020,26,VAN,C,69,27,45,72,11,47,7.9,18,9,0,3,27,16,2,165,16.4,1387,20:06,38,123,425,293,59.2,millejt01
Alex Ovechkin,18,2020,34,WSH,LW,68,48,19,67,-12,30,8.7,35,13,0,3,14,5,0,311,15.4,1405,20:40,30,184,1,0,100.0,ovechal01
Mitch Marner,19,2020,22,TOR,RW,59,16,51,67,6,16,6.2,10,6,0,2,32,18,1,154,10.4,1272,21:33,37,24,7,19,26.9,marnemi01
Max Pacioretty,20,2020,31,VEG,LW,71,32,34,66,18,44,8.6,24,8,0,5,23,11,0,307,10.4,1272,17:55,35,90,51,45,53.1,pacioma01
Sebastian Aho,21,2020,22,CAR,F,68,38,28,66,10,26,8.6,26,8,4,5,18,9,1,206,18.4,1321,19:25,20,55,409,480,46.0,ahose01
Elias Pettersson,22,2020,21,VAN,C,68,27,39,66,16,18,7.7,19,8,0,5,23,16,0,162,16.7,1260,18:32,42,63,59,82,41.8,petteel01
Steven Stamkos,23,2020,29,TBL,C,57,29,37,66,14,22,8.1,19,10,0,6,28,9,0,176,16.5,1050,18:25,38,69,365,307,54.3,stamkst01
Blake Wheeler,24,2020,33,WPG,RW,71,22,43,65,1,37,6.4,17,4,1,2,24,18,1,180,12.2,1372,19:19,51,102,325,327,49.8,wheelbl01
Roman Josi,25,2020,29,NSH,D,69,16,49,65,22,41,10.9,12,4,0,1,30,19,0,260,6.2,1779,25:47,108,52,0,0,,josiro01
Brayden Point,26,2020,23,TBL,C,66,25,39,64,28,11,7.7,17,8,0,4,34,5,0,141,17.7,1248,18:54,30,24,397,380,51.1,pointbr01
Patrik Laine,27,2020,21,WPG,RW,68,28,35,63,8,22,7.1,20,8,0,1,27,8,0,226,12.4,1320,19:25,35,97,10,17,37.0,lainepa01
Teuvo Teräväinen,28,2020,25,CAR,F,68,15,48,63,20,8,6.4,10,4,1,1,28,17,3,182,8.2,1305,19:12,30,18,26,27,49.1,teravte01
Mark Stone,29,2020,27,VEG,RW,65,21,42,63,15,27,7.1,15,6,0,3,30,11,1,168,12.5,1262,19:25,51,56,16,30,34.8,stonema01
Anže Kopitar,30,2020,32,LAK,C,70,21,41,62,6,16,6.5,13,7,1,5,27,14,0,135,15.6,1473,21:02,56,49,777,631,55.2,kopitan01
Aleksander Barkov,31,2020,24,FLA,C,66,20,42,62,2,18,5.9,13,7,0,2,28,13,1,172,11.6,1321,20:01,35,21,653,550,54.3,barkoal01
Ryan O'Reilly,32,2020,28,STL,C,71,12,49,61,11,10,5.4,9,2,1,3,33,16,0,118,10.2,1461,20:34,42,16,880,676,56.6,oreilry01
Matthew Tkachuk,33,2020,22,CGY,LW,69,23,38,61,-5,74,6.5,18,5,0,4,24,14,0,188,12.2,1263,18:18,22,122,0,4,0.0,tkachma01
Andrei Svechnikov,34,2020,19,CAR,RW,68,24,37,61,9,54,6.9,18,6,0,5,23,14,0,183,13.1,1138,16:44,27,116,0,1,0.0,svechan01
Tomáš Tatar,35,2020,29,MTL,C,68,22,39,61,5,36,7.0,14,8,0,1,33,6,0,162,13.6,1108,16:18,24,79,9,16,36.0,tatarto01
Travis Konecny,36,2020,22,PHI,C,66,24,37,61,-1,28,6.7,19,5,0,3,19,18,0,141,17.0,1109,16:48,30,63,24,25,49.0,konectr01
