Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
Henrik Sedin*,1,2010,29,VAN,C,82,29,83,112,35,48,13.5,23,4,2,5,60,23,0,166,17.5,1614,19:41,13.0,13,756.0,771.0,49.5,sedinhe01
Sidney Crosby,2,2010,22,PIT,C,81,51,58,109,15,71,14.7,36,13,2,6,36,21,1,298,17.1,1778,21:57,42.0,62,992.0,781.0,56.0,crosbsi01
Alex Ovechkin,3,2010,24,WSH,LW,72,50,59,109,45,89,15.6,37,13,0,7,36,23,0,368,13.6,1569,21:48,20.0,181,10.0,12.0,45.5,ovechal01
Nicklas Bäckström,4,2010,22,WSH,C,82,33,68,101,37,50,12.2,22,11,0,4,42,26,0,222,14.9,1677,20:27,61.0,90,657.0,660.0,49.9,backsni02
Steven Stamkos,5,2010,19,TBL,C,82,51,44,95,-2,38,12.8,26,24,1,5,27,17,0,297,17.2,1685,20:33,38.0,68,475.0,517.0,47.9,stamkst01
Martin St. Louis*,6,2010,34,TBL,RW,82,29,65,94,-8,12,9.9,21,7,1,7,35,30,0,242,12.0,1788,21:49,40.0,19,71.0,85.0,45.5,stlouma01
Brad Richards,7,2010,29,DAL,C,80,24,67,91,-12,14,8.9,11,13,0,2,40,27,0,284,8.5,1669,20:52,22.0,16,587.0,553.0,51.5,richabr01
Joe Thornton,8,2010,30,SJS,C,79,20,69,89,17,54,9.6,15,4,1,2,42,25,2,141,14.2,1569,19:51,29.0,113,662.0,566.0,53.9,thornjo01
Patrick Kane,9,2010,21,CHI,RW,82,30,58,88,16,20,10.3,21,9,0,6,37,20,1,261,11.5,1574,19:12,17.0,17,9.0,13.0,40.9,kanepa01
Marián Gáborík,10,2010,27,NYR,RW,76,42,44,86,15,37,12.1,27,14,1,4,31,12,1,272,15.4,1615,21:15,31.0,59,2.0,5.0,28.6,gaborma01
Ilya Kovalchuk,11,2010,26,TOT,LW,76,41,44,85,10,53,11.0,29,12,0,4,29,15,0,290,14.1,1675,22:02,20.0,30,7.0,23.0,23.3,kovalil01
Daniel Sedin*,12,2010,29,VAN,LW,63,29,56,85,36,28,11.4,21,8,0,8,43,13,0,225,12.9,1206,19:08,3.0,8,11.0,22.0,33.3,sedinda01
Alexander Semin,13,2010,25,WSH,LW,73,40,44,84,36,66,11.7,30,8,2,5,25,19,0,278,14.4,1396,19:07,20.0,30,6.0,10.0,37.5,seminal01
Patrick Marleau,14,2010,30,SJS,C,82,44,39,83,21,22,11.4,28,12,4,6,26,13,0,274,16.1,1739,21:13,33.0,76,316.0,299.0,51.4,marlepa01
Dany Heatley,15,2010,29,SJS,RW,82,39,43,82,14,54,10.6,20,18,1,9,31,12,0,280,13.9,1659,20:14,35.0,81,14.0,21.0,40.0,heatlda01
Zach Parise,16,2010,25,NJD,C,81,38,44,82,24,32,11.5,28,9,1,5,27,17,0,347,11.0,1602,19:46,34.0,108,18.0,30.0,37.5,parisza01
Anže Kopitar,17,2010,22,LAK,C,82,34,47,81,6,16,9.5,19,14,1,2,23,24,0,259,13.1,1786,21:47,50.0,78,592.0,602.0,49.6,kopitan01
Paul Stastny,18,2010,24,COL,C,81,20,59,79,2,50,7.4,11,9,0,2,43,16,0,199,10.1,1733,21:24,53.0,42,851.0,852.0,50.0,stastpa01
Evgeni Malkin,19,2010,23,PIT,C,67,28,49,77,-6,100,8.5,13,13,2,7,33,15,1,268,10.4,1397,20:51,25.0,58,199.0,295.0,40.3,malkiev01
Mike Green,20,2010,24,WSH,D,75,19,57,76,39,54,13.0,9,10,0,4,31,25,1,205,9.3,1911,25:29,105.0,133,0.0,0.0,,greenmi03
Corey Perry,21,2010,24,ANA,RW,82,27,49,76,0,111,8.1,20,6,1,2,31,17,1,270,10.0,1727,21:04,34.0,93,6.0,22.0,21.4,perryco01
Ryan Kesler,22,2010,25,VAN,C,82,25,50,75,1,104,7.7,12,12,1,5,34,14,2,214,11.7,1609,19:38,73.0,95,772.0,629.0,55.1,keslery01
Daniel Alfredsson*,23,2010,37,OTT,RW,70,20,51,71,8,22,7.9,15,4,1,5,21,27,3,168,11.9,1377,19:40,36.0,41,14.0,25.0,35.9,alfreda01
Loui Eriksson,24,2010,24,DAL,LW,82,29,42,71,-4,26,7.7,21,6,2,4,35,6,1,214,13.6,1620,19:46,48.0,31,4.0,7.0,36.4,erikslo01
Mikko Koivu,25,2010,26,MIN,C,80,22,49,71,-2,50,7.4,13,8,1,2,29,20,0,246,8.9,1660,20:45,52.0,50,864.0,654.0,56.9,koivumi01
Pavel Datsyuk,26,2010,31,DET,C,80,27,43,70,17,18,8.6,18,9,0,3,27,16,0,203,13.3,1628,20:21,33.0,85,589.0,478.0,55.2,datsypa01
Vincent Lecavalier,27,2010,29,TBL,C,82,24,46,70,-16,63,6.7,19,5,0,3,26,20,0,295,8.1,1623,19:47,21.0,80,762.0,675.0,53.0,lecavvi01
Tomáš Plekanec,28,2010,27,MTL,C,82,25,45,70,5,50,7.9,21,3,1,4,24,21,0,216,11.6,1637,19:58,63.0,51,791.0,824.0,49.0,plekato01
Eric Staal,29,2010,25,CAR,C,70,29,41,70,4,68,8.3,16,13,0,5,31,10,0,277,10.5,1450,20:43,17.0,74,479.0,667.0,41.8,staaler01
Henrik Zetterberg,30,2010,29,DET,C,74,23,47,70,12,26,8.2,20,3,0,6,27,19,1,309,7.4,1485,20:04,34.0,44,536.0,543.0,49.7,zettehe01
Ryan Getzlaf,31,2010,24,ANA,C,66,19,50,69,4,79,7.2,11,8,0,5,36,14,0,149,12.8,1430,21:40,49.0,178,533.0,591.0,47.4,getzlry01
