Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
Sidney Crosby,1,2014,26,PIT,C,80,36,68,104,18,46,13.5,25,11,0,5,41,27,0,259,13.9,1758,21:58,28.0,47,991.0,896.0,52.5,crosbsi01
Ryan Getzlaf,2,2014,28,ANA,C,77,31,56,87,28,31,11.2,26,5,0,7,38,18,0,204,15.2,1639,21:17,87.0,110,692.0,719.0,49.0,getzlry01
Claude Giroux,3,2014,26,PHI,C,82,28,58,86,7,46,10.2,21,7,0,7,28,30,0,223,12.6,1676,20:26,46.0,90,931.0,829.0,52.9,giroucl01
Tyler Seguin,4,2014,22,DAL,C,80,37,47,84,16,18,11.6,26,11,0,8,33,14,0,294,12.6,1548,19:21,24.0,47,280.0,395.0,41.5,seguity01
Corey Perry,5,2014,28,ANA,RW,81,43,39,82,32,65,12.3,35,8,0,9,29,10,0,280,15.4,1578,19:29,28.0,81,9.0,16.0,36.0,perryco01
Taylor Hall,6,2014,22,EDM,LW,75,27,53,80,-15,44,9.0,20,7,0,1,42,10,1,250,10.8,1501,20:01,41.0,54,37.0,44.0,45.7,hallta02
Phil Kessel,7,2014,26,TOR,RW,82,37,43,80,-5,27,10.3,29,8,0,6,31,12,0,305,12.1,1695,20:40,30.0,25,2.0,12.0,14.3,kesseph01
Nicklas Bäckström,8,2014,26,WSH,C,82,18,61,79,-20,54,7.2,11,6,1,1,23,38,0,196,9.2,1624,19:48,54.0,89,714.0,701.0,50.5,backsni02
Jamie Benn,9,2014,24,DAL,C,81,34,45,79,21,64,10.9,28,5,1,3,29,14,2,279,12.2,1551,19:09,59.0,116,402.0,359.0,52.8,bennja01
Alex Ovechkin,10,2014,28,WSH,LW,78,51,28,79,-35,48,10.2,27,24,0,10,12,15,1,386,13.2,1603,20:33,22.0,204,2.0,1.0,66.7,ovechal01
Joe Pavelski,11,2014,29,SJS,C,82,41,38,79,23,32,11.5,24,16,1,3,22,15,1,225,18.2,1628,19:51,68.0,47,675.0,531.0,56.0,paveljo01
Patrick Sharp,12,2014,32,CHI,LW,82,34,44,78,13,40,10.0,24,10,0,3,29,15,0,313,10.9,1549,18:53,27.0,55,83.0,69.0,54.6,sharppa01
Joe Thornton,13,2014,34,SJS,C,82,11,65,76,20,32,7.9,9,2,0,3,47,17,1,122,9.0,1552,18:56,34.0,54,617.0,482.0,56.1,thornjo01
Erik Karlsson,14,2014,23,OTT,D,82,20,54,74,-15,36,10.4,15,5,0,1,28,26,0,257,7.8,2220,27:04,101.0,122,0.0,0.0,,karlser01
Evgeni Malkin,15,2014,27,PIT,C,60,23,49,72,10,62,9.1,16,7,0,3,26,23,0,191,12.0,1204,20:04,18.0,27,303.0,318.0,48.8,malkiev01
Matt Duchene,16,2014,23,COL,C,71,23,47,70,8,19,8.1,18,5,0,6,35,12,0,217,10.6,1313,18:30,44.0,53,532.0,526.0,50.3,duchema01
Anže Kopitar,17,2014,26,LAK,C,82,29,41,70,34,24,10.0,19,10,0,9,28,13,0,200,14.5,1713,20:53,44.0,90,773.0,678.0,53.3,kopitan01
Patrick Marleau,18,2014,34,SJS,LW,82,33,37,70,0,18,8.6,20,11,2,4,25,12,0,285,11.6,1683,20:31,29.0,85,163.0,145.0,52.9,marlepa01
Patrick Kane,19,2014,25,CHI,RW,69,29,40,69,7,22,8.6,19,10,0,6,25,15,0,227,12.8,1353,19:37,15.0,16,4.0,4.0,50.0,kanepa01
David Krejčí,20,2014,27,BOS,C,80,19,50,69,39,28,8.6,16,3,0,6,34,16,0,169,11.2,1530,19:07,56.0,75,618.0,590.0,51.2,krejcda01
Kyle Okposo,21,2014,25,NYI,RW,71,27,42,69,-9,51,7.9,22,5,0,4,32,10,0,195,13.8,1451,20:26,35.0,43,97.0,107.0,47.5,okposky01
Martin St. Louis*,22,2014,38,TOT,RW,81,30,39,69,13,10,8.7,20,9,1,5,26,12,1,204,14.7,1696,20:56,38.0,24,68.0,99.0,40.7,stlouma01
Blake Wheeler,23,2014,27,WPG,RW,82,28,41,69,4,63,8.3,20,8,0,4,30,11,0,225,12.4,1532,18:41,68.0,150,15.0,25.0,37.5,wheelbl01
Chris Kunitz,24,2014,34,PIT,LW,78,35,33,68,25,66,10.1,22,13,0,8,24,9,0,218,16.1,1494,19:09,25.0,157,3.0,1.0,75.0,kunitch01
Jonathan Toews,25,2014,25,CHI,C,76,28,40,68,26,34,8.7,20,5,3,5,28,10,2,193,14.5,1555,20:28,20.0,29,884.0,660.0,57.3,toewsjo01
Thomas Vanek,26,2014,30,TOT,LW,78,27,41,68,7,46,8.6,19,8,0,4,31,10,0,248,10.9,1509,19:21,17.0,30,20.0,26.0,43.5,vanekth01
Jaromír Jágr,27,2014,41,NJD,RW,82,24,43,67,16,46,8.7,19,5,0,6,31,12,0,231,10.4,1571,19:10,9.0,4,0.0,2.0,0.0,jagrja01
Jason Spezza,28,2014,30,OTT,C,75,23,43,66,-26,46,6.4,14,9,0,5,30,13,0,223,10.3,1366,18:13,26.0,17,775.0,661.0,54.0,spezzja01
John Tavares,29,2014,23,NYI,C,59,24,42,66,-6,40,7.7,16,8,0,4,25,17,0,188,12.8,1253,21:15,19.0,23,554.0,575.0,49.1,tavarjo01
Jordan Eberle,30,2014,23,EDM,RW,80,28,37,65,-11,18,7.5,20,7,1,4,24,13,0,200,14.0,1564,19:33,40.0,51,8.0,13.0,38.1,eberljo01
