Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
Daniel Sedin*,1,2011,30,VAN,LW,82,41,63,104,30,32,14.3,23,18,0,10,39,24,0,266,15.4,1521,18:33,12,13,4,13,23.5,sedinda01
Martin St. Louis*,2,2011,35,TBL,RW,82,31,68,99,0,12,11.3,27,4,0,7,31,37,0,254,12.2,1720,20:59,64,37,50,81,38.2,stlouma01
Corey Perry,3,2011,25,ANA,RW,82,50,48,98,9,104,13.3,32,14,4,11,30,17,1,290,17.2,1830,22:19,41,64,9,13,40.9,perryco01
Henrik Sedin*,4,2011,30,VAN,C,82,19,75,94,26,40,10.5,11,8,0,4,48,27,0,157,12.1,1579,19:16,21,15,721,666,52.0,sedinhe01
Steven Stamkos,5,2011,20,TBL,C,82,45,46,91,3,74,12.2,28,17,0,8,27,19,0,272,16.5,1656,20:12,37,84,431,496,46.5,stamkst01
Jarome Iginla*,6,2011,33,CGY,RW,82,43,43,86,0,40,11.0,29,14,0,6,27,16,0,289,14.9,1717,20:56,28,103,227,193,54.0,iginlja01
Alex Ovechkin,7,2011,25,WSH,LW,79,32,53,85,24,41,11.1,25,7,0,11,36,17,0,367,8.7,1688,21:22,23,239,6,12,33.3,ovechal01
Teemu Selänne*,8,2011,40,ANA,RW,73,31,49,80,6,49,10.0,15,16,0,5,31,18,0,213,14.6,1310,17:56,20,15,97,121,44.5,selante01
Henrik Zetterberg,9,2011,30,DET,C,80,24,56,80,-1,40,8.2,14,10,0,3,35,20,1,306,7.8,1567,19:35,19,38,516,468,52.4,zettehe01
Brad Richards,10,2011,30,DAL,C,72,28,49,77,1,24,9.0,21,7,0,3,27,22,0,272,10.3,1564,21:43,22,20,501,489,50.6,richabr01
Ryan Getzlaf,11,2011,25,ANA,C,67,19,57,76,14,35,8.4,12,7,0,4,37,20,0,117,16.2,1464,21:51,57,189,542,641,45.8,getzlry01
Claude Giroux,12,2011,23,PHI,RW,82,25,51,76,20,47,8.8,14,8,3,5,36,11,4,169,14.8,1591,19:24,44,117,548,547,50.0,giroucl01
Eric Staal,13,2011,26,CAR,C,81,33,43,76,-10,72,8.4,18,12,3,8,26,17,0,296,11.1,1777,21:56,31,80,827,901,47.9,staaler01
Jonathan Toews,14,2011,22,CHI,C,80,32,44,76,25,26,9.8,21,10,1,8,28,15,1,233,13.7,1661,20:46,28,74,937,716,56.7,toewsjo01
Loui Eriksson,15,2011,25,DAL,LW,79,27,46,73,10,8,8.8,16,10,1,6,29,15,2,179,15.1,1625,20:34,46,26,1,3,25.0,erikslo01
Patrick Kane,16,2011,22,CHI,RW,73,27,46,73,7,28,8.6,22,5,0,2,27,19,0,216,12.5,1408,19:17,17,17,2,12,14.3,kanepa01
Ryan Kesler,17,2011,26,VAN,C,82,41,32,73,24,66,10.4,23,15,3,7,16,15,1,260,15.8,1681,20:30,80,124,859,637,57.4,keslery01
Anže Kopitar,18,2011,23,LAK,C,75,25,48,73,25,20,9.2,18,6,1,6,36,12,0,233,10.7,1619,21:35,45,92,579,581,49.9,kopitan01
Patrick Marleau,19,2011,31,SJS,C,82,37,36,73,-3,16,8.8,24,11,2,9,20,15,1,279,13.3,1705,20:47,31,86,288,261,52.5,marlepa01
Thomas Vanek,20,2011,27,BUF,LW,80,32,41,73,2,24,9.1,21,11,0,5,24,17,0,238,13.4,1388,17:21,12,30,8,18,30.8,vanekth01
Mike Ribeiro,21,2011,30,DAL,C,82,19,52,71,-4,28,7.0,12,7,0,4,36,16,0,161,11.8,1637,19:58,33,95,565,648,46.6,ribeimi01
Bobby Ryan,22,2011,23,ANA,RW,82,34,37,71,15,61,9.2,28,5,1,5,32,5,0,270,12.6,1655,20:11,34,156,87,132,39.7,ryanbo01
Patrick Sharp,23,2011,29,CHI,C,74,34,37,71,-1,38,8.8,20,12,2,6,22,14,1,268,12.7,1437,19:25,26,76,244,264,48.0,sharppa01
Joe Thornton,24,2011,31,SJS,C,80,21,49,70,4,47,7.2,10,9,2,3,25,24,0,149,14.1,1590,19:52,35,56,675,565,54.4,thornjo01
Alex Tanguay,25,2011,31,CGY,LW,79,22,47,69,0,24,7.1,19,3,0,2,30,17,0,120,18.3,1561,19:46,38,31,42,65,39.3,tangual01
Daniel Brière,26,2011,33,PHI,C,77,34,34,68,20,87,9.3,28,6,0,6,25,9,0,246,13.8,1410,18:19,17,36,395,425,48.2,brierda01
Ľubomír Višňovský,27,2011,34,ANA,D,81,18,50,68,18,24,12.8,13,5,0,4,24,26,0,152,11.8,1968,24:18,116,52,0,0,,visnolu01
Matt Duchene,28,2011,20,COL,C,80,27,40,67,-8,33,7.1,24,3,0,2,28,12,0,202,13.4,1516,18:57,48,57,628,618,50.4,duchema01
John Tavares,29,2011,20,NYI,C,79,29,38,67,-16,53,7.4,20,9,0,4,23,15,0,243,11.9,1521,19:15,23,21,681,616,52.5,tavarjo01
Jeff Carter,30,2011,26,PHI,C,80,36,30,66,27,39,9.5,28,8,0,7,21,9,0,335,10.7,1460,18:15,41,65,331,274,54.7,carteje01
Sidney Crosby,31,2011,23,PIT,C,41,32,34,66,20,31,10.1,21,10,1,3,25,9,0,161,19.9,899,21:55,23,31,546,435,55.7,crosbsi01
Rick Nash,32,2011,26,CBJ,LW,75,32,34,66,2,34,8.1,26,6,0,7,26,8,0,305,10.5,1420,18:56,19,91,7,17,29.2,nashri01
Joe Pavelski,33,2011,26,SJS,C,74,20,46,66,10,24,7.2,8,11,1,5,27,17,2,282,7.1,1454,19:39,67,61,554,466,54.3,paveljo01
Mike Richards,34,2011,25,PHI,C,81,23,43,66,11,62,7.2,15,5,3,4,24,16,3,184,12.5,1529,18:53,73,104,606,610,49.8,richami02
Nicklas Bäckström,35,2011,23,WSH,C,77,18,47,65,24,40,7.5,13,4,1,2,29,18,0,202,8.9,1586,20:36,62,68,679,619,52.3,backsni02
Dany Heatley,36,2011,30,SJS,RW,80,26,38,64,8,56,7.3,14,11,1,5,18,19,1,217,12.0,1572,19:39,29,104,9,11,45.0,heatlda01
Phil Kessel,37,2011,23,TOR,RW,82,32,32,64,-20,24,6.9,19,12,1,6,21,11,0,325,9.8,1611,19:39,22,11,24,35,40.7,kesseph01
Jeff Skinner,38,2011,18,CAR,RW,82,31,32,63,3,46,8.1,25,6,0,2,20,12,0,215,14.4,1372,16:44,28,70,58,97,37.4,skinnje01
David Backes,39,2011,26,STL,RW,82,31,31,62,32,93,8.8,26,5,0,2,20,10,1,211,14.7,1616,19:42,40,213,506,632,44.5,backeda01
Ryane Clowe,40,2011,28,SJS,LW,75,24,38,62,13,100,7.5,19,5,0,2,30,8,0,185,13.0,1347,17:58,22,153,17,24,41.5,clowery01
Patrik Eliáš,41,2011,34,NJD,LW,81,21,41,62,-4,16,7.2,13,7,1,5,28,13,0,204,10.3,1510,18:38,25,62,224,274,45.0,eliaspa01
Martin Havlát,42,2011,29,MIN,LW,78,22,40,62,-10,52,6.4,19,3,0,4,29,11,0,229,9.6,1431,18:21,24,34,3,7,30.0,havlama01
Mikko Koivu,43,2011,27,MIN,C,71,17,45,62,4,50,6.6,9,7,1,3,30,15,0,191,8.9,1384,19:29,29,63,683,609,52.9,koivumi01
David Krejčí,44,2011,24,BOS,C,75,13,49,62,23,28,6.5,12,1,0,2,38,11,0,157,8.3,1414,18:51,40,56,560,589,48.7,krejcda01
Nicklas Lidström*,45,2011,40,DET,D,82,16,46,62,-2,20,9.5,9,7,0,1,13,32,1,175,9.1,1924,23:28,92,49,0,0,,lidstni01
Milan Lucic,46,2011,22,BOS,LW,79,30,32,62,28,121,8.8,25,5,0,7,23,9,0,173,17.3,1310,16:35,22,167,21,33,38.9,lucicmi01
Clarke MacArthur,47,2011,25,TOR,LW,82,21,41,62,-3,37,6.6,15,6,0,3,28,13,0,154,13.6,1403,17:07,20,115,9,7,56.3,macarcl01
Shane Doan,48,2011,34,PHX,RW,72,20,40,60,5,67,6.3,9,11,0,6,30,10,0,221,9.0,1389,19:17,28,172,73,86,45.9,doansh01
Ilya Kovalchuk,49,2011,27,NJD,LW,81,31,29,60,-26,28,6.8,22,9,0,9,17,12,0,245,12.7,1828,22:34,12,28,9,22,29.0,kovalil01
Pavel Datsyuk,50,2011,32,DET,C,56,23,36,59,11,15,7.3,16,6,1,5,24,12,0,137,16.8,1082,19:19,20,54,429,356,54.6,datsypa01
Andrew Ladd,51,2011,25,ATL,LW,81,29,30,59,-10,39,6.5,18,9,2,2,20,9,1,195,14.9,1626,20:04,43,68,15,28,34.9,laddan01
Keith Yandle,52,2011,24,PHX,D,82,11,48,59,12,68,9.9,8,3,0,0,24,23,1,199,5.5,1999,24:23,103,30,0,0,,yandlke01
Mikhail Grabovski,53,2011,27,TOR,C,81,29,29,58,14,60,7.4,19,10,0,4,24,5,0,239,12.1,1568,19:22,25,44,642,684,48.4,grabomi01
Patrice Bergeron,54,2011,25,BOS,C,80,22,35,57,20,26,6.7,17,3,2,4,26,8,1,211,10.4,1431,17:53,56,45,815,624,56.6,bergepa01
Dustin Brown,55,2011,26,LAK,RW,82,28,29,57,17,67,7.5,21,7,0,2,21,8,0,228,12.3,1588,19:22,29,300,18,19,48.6,browndu01
Marián Hossa*,56,2011,32,CHI,RW,65,25,32,57,9,32,7.0,15,8,2,2,20,11,1,205,12.2,1281,19:42,23,48,3,1,75.0,hossama01
Nikolai Kulemin,57,2011,24,TOR,LW,82,30,27,57,7,26,7.4,24,5,1,5,19,8,0,173,17.3,1421,17:19,48,101,60,51,54.1,kulemni01
Tomáš Plekanec,58,2011,28,MTL,C,77,22,35,57,8,60,6.5,18,3,1,4,19,15,1,227,9.7,1559,20:15,45,53,788,789,50.0,plekato01
Tuomo Ruutu,59,2011,27,CAR,C,82,19,38,57,1,54,6.0,12,7,0,1,29,9,0,148,12.8,1380,16:50,38,307,256,369,41.0,ruututu01
Jason Spezza,60,2011,27,OTT,C,62,21,36,57,-7,28,6.6,14,7,0,2,25,10,1,188,11.2,1252,20:12,24,14,681,529,56.3,spezzja01
Paul Stastny,61,2011,25,COL,C,74,22,35,57,-7,56,5.6,17,4,1,3,20,15,0,181,12.2,1460,19:44,31,74,810,714,53.1,stastpa01
R.J. Umberger,62,2011,28,CBJ,C,82,25,32,57,3,38,6.1,14,8,3,3,27,5,0,220,11.4,1576,19:13,70,114,111,109,50.5,umberrj01
Ray Whitney,63,2011,38,PHX,LW,75,17,40,57,0,24,5.6,14,3,0,1,17,23,0,156,10.9,1272,16:57,15,29,45,55,45.0,whitnra01
Justin Williams,64,2011,29,LAK,RW,73,22,35,57,14,59,7.3,17,5,0,3,27,8,0,213,10.3,1259,17:15,29,51,7,7,50.0,williju01
Jamie Benn,65,2011,21,DAL,LW,69,22,34,56,-5,52,6.3,12,6,4,3,27,5,2,177,12.4,1243,18:01,41,124,84,111,43.1,bennja01
Logan Couture,66,2011,21,SJS,C,79,32,24,56,18,41,7.8,22,10,0,8,20,4,0,253,12.6,1408,17:49,66,60,474,414,53.4,coutulo01
Milan Hejduk,67,2011,34,COL,RW,71,22,34,56,-23,18,5.2,12,10,0,2,20,14,0,170,12.9,1273,17:55,31,9,2,3,40.0,hejdumi01
Brenden Morrow,68,2011,32,DAL,LW,82,33,23,56,-3,76,7.1,23,9,1,5,19,4,0,209,15.8,1577,19:14,43,225,1,10,9.1,morrobr01
Brad Boyes,69,2011,28,TOT,C,83,17,38,55,13,36,6.0,11,6,0,3,31,7,0,178,9.6,1410,17:00,33,67,136,184,42.5,boyesbr01
Johan Franzén,70,2011,31,DET,C,76,28,27,55,5,58,6.7,18,10,0,5,20,7,0,248,11.3,1325,17:26,29,143,74,73,50.3,franzjo01
Brandon Dubinsky,71,2011,24,NYR,C,77,24,30,54,-3,100,5.9,18,4,2,2,21,7,2,202,11.9,1557,20:14,31,141,459,416,52.5,dubinbr01
Olli Jokinen,72,2011,32,CGY,C,79,17,37,54,-17,44,4.5,12,5,0,1,23,14,0,208,8.2,1404,17:47,35,56,552,613,47.4,jokinol01
Vincent Lecavalier,73,2011,30,TBL,C,65,25,29,54,-5,43,6.4,13,12,0,5,13,16,0,210,11.9,1200,18:27,25,93,591,570,50.9,lecavvi01
Alexander Semin,74,2011,26,WSH,LW,65,28,26,54,22,71,8.0,21,6,1,4,14,12,0,196,14.3,1175,18:04,6,27,4,8,33.3,seminal01
Dustin Byfuglien,75,2011,25,ATL,D,81,20,33,53,-2,93,9.6,12,8,0,6,17,16,0,347,5.8,1888,23:18,71,138,0,0,,byfugdu01
Nathan Horton,76,2011,25,BOS,C,80,26,27,53,29,85,7.4,20,6,0,2,25,2,0,188,13.8,1303,16:17,14,74,8,11,42.1,hortona01
Ville Leino,77,2011,27,PHI,LW,81,19,34,53,14,22,5.9,14,5,0,2,28,6,0,117,16.2,1297,16:01,40,35,78,58,57.4,leinovi01
Matt Moulson,78,2011,27,NYI,LW,82,31,22,53,-10,24,6.2,22,9,0,3,16,6,0,237,13.1,1547,18:52,47,84,5,4,55.6,moulsma01
