Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
Chris Summers,765,2013,24,PHX,D,6,0,0,0,-3,9,-0.2,0,0,0,0,0,0,0,5,0.0,76,12:39,10,12,0,0,,summech01
Akim Aliu,766,2013,23,CGY,RW,5,0,0,0,-2,14,-0.2,0,0,0,0,0,0,0,2,0.0,54,10:52,2,5,0,0,,aliuak01
Mike Blunden,767,2013,26,MTL,RW,5,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,5,0.0,42,8:21,3,2,0,0,,blundmi01
Chris Brown,768,2013,21,PHX,C,5,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,6,0.0,38,7:38,0,6,0,0,,brownch01
Joe Colborne,769,2013,23,TOR,C,5,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,4,0.0,46,9:07,0,11,15,14,51.7,colbojo01
Sean Collins,770,2013,24,CBJ,C,5,0,0,0,-2,6,-0.2,0,0,0,0,0,0,0,0,,62,12:30,5,3,1,4,20.0,collise02
Derek Grant,771,2013,22,OTT,C,5,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,5,0.0,43,8:40,0,8,17,14,54.8,grantde01
Michal Jordán,772,2013,22,CAR,D,5,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,2,0.0,53,10:41,2,0,0,0,,jordami01
Scott Laughton,773,2013,18,PHI,C,5,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,10,0.0,58,11:31,1,10,19,24,44.2,laughsc01
Jon Rheault,774,2013,26,FLA,RW,5,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,5,0.0,53,10:34,4,12,0,1,0.0,rheaujo01
Scott Timmins,775,2013,23,FLA,C,5,0,0,0,-2,4,-0.2,0,0,0,0,0,0,0,6,0.0,53,10:35,5,6,15,16,48.4,timmisc01
Darcy Hordichuk,776,2013,32,EDM,LW,4,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,0,,8,2:02,0,6,0,0,,hordida01
Cam Janssen,777,2013,28,NJD,RW,4,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,0,,16,3:58,0,5,0,0,,janssca01
Mike Komisarek,778,2013,31,TOR,D,4,0,0,0,2,2,0.2,0,0,0,0,0,0,0,1,0.0,61,15:21,6,11,0,0,,komismi01
Andreas Lilja,779,2013,37,PHI,D,4,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,2,0.0,67,16:47,7,12,0,0,,liljaan01
Brandon Mashinter,780,2013,24,NYR,LW,4,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,24,5:55,1,7,1,0,100.0,mashibr01
Ryan Murphy,781,2013,19,CAR,D,4,0,0,0,-4,2,-0.3,0,0,0,0,0,0,0,7,0.0,84,21:04,9,2,0,0,,murphry01
Theo Peckham,782,2013,25,EDM,D,4,0,0,0,-1,6,0.0,0,0,0,0,0,0,0,2,0.0,71,17:38,5,14,0,0,,peckhth01
Harri Pesonen,783,2013,24,NJD,C,4,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,3,0.0,37,9:11,0,4,0,0,,pesonha01
Rickard Rakell,784,2013,19,ANA,RW,4,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,3,0.0,36,8:57,0,4,10,11,47.6,rakelri01
David Savard,785,2013,22,CBJ,D,4,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,1,0.0,53,13:12,2,4,0,0,,savarda01
Mark Scheifele,786,2013,19,WPG,C,4,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,6,0.0,46,11:32,0,4,10,4,71.4,scheima01
Ryan Spooner,787,2013,21,BOS,C,4,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,4,0.0,36,9:07,2,1,11,13,45.8,spoonry01
Mark Stone,788,2013,20,OTT,RW,4,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,3,0.0,40,10:00,0,10,1,0,100.0,stonema01
Eric Wellwood,789,2013,22,PHI,LW,4,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,2,0.0,38,9:25,1,2,0,6,0.0,wellwer01
Frank Corrado,790,2013,19,VAN,D,3,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,4,0.0,58,19:24,5,8,0,0,,corrafr01
Mike Hoffman,791,2013,23,OTT,C,3,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,6,0.0,37,12:19,2,8,2,0,100.0,hoffmmi02
Greg Pateryn,792,2013,22,MTL,D,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,29,9:36,1,2,0,0,,patergr01
Dylan Reese,793,2013,28,PIT,D,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,46,15:16,4,0,0,0,,reesedy01
Brett Sutter,794,2013,25,CAR,C,3,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,2,0.0,25,8:21,0,7,8,6,57.1,suttebr04
Carter Bancks,795,2013,23,CGY,LW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,29,14:41,3,6,0,0,,banckca01
