Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
Connor McDavid,1,2023,26.0,EDM,C,82,64,89,153,22,36,18.2,39,21,4,11,36,50,3,352,18.2,1836,22:23,40,89,525,486,51.9,mcdavco01
Leon Draisaitl,2,2023,27.0,EDM,C,80,52,76,128,7,24,14.2,19,32,1,11,45,30,1,247,21.1,1739,21:44,40,66,807,663,54.9,draisle01
Nikita Kucherov,3,2023,29.0,TBL,RW,82,30,83,113,-2,36,10.7,22,8,0,4,41,42,0,271,11.1,1651,20:08,28,61,2,0,100.0,kucheni01
David Pastrňák,4,2023,26.0,BOS,RW,82,61,52,113,34,38,15.1,43,18,0,13,33,19,0,407,15.0,1604,19:34,33,91,8,11,42.1,pastrda01
Nathan MacKinnon,5,2023,27.0,COL,C,71,42,69,111,29,30,13.1,30,12,0,9,47,22,0,366,11.5,1585,22:19,40,53,519,649,44.4,mackina01
Jason Robertson,6,2023,23.0,DAL,LW,82,46,63,109,37,20,13.9,33,13,0,7,35,28,0,313,14.7,1545,18:50,19,57,0,1,0.0,roberja01
Matthew Tkachuk,7,2023,25.0,FLA,LW,79,40,69,109,29,123,12.3,26,14,0,6,46,22,1,322,12.4,1614,20:26,31,68,13,16,44.8,tkachma01
Mikko Rantanen,8,2023,26.0,COL,RW,82,55,50,105,15,82,12.8,42,13,0,9,26,24,0,306,18.0,1822,22:13,41,77,222,231,49.0,rantami01
Ryan Nugent-Hopkins,9,2023,29.0,EDM,C,82,37,67,104,12,35,10.9,21,15,1,3,26,38,3,201,18.4,1624,19:48,26,48,308,374,45.2,nugenry01
Elias Pettersson,10,2023,24.0,VAN,C,80,39,63,102,16,14,10.9,28,6,5,6,40,19,4,257,15.2,1644,20:33,89,74,442,555,44.3,petteel01
Erik Karlsson,11,2023,32.0,SJS,D,82,25,76,101,-26,36,12.4,20,5,0,4,54,22,0,209,12.0,2100,25:37,90,33,0,1,0.0,karlser01
Jack Hughes,12,2023,21.0,NJD,C,78,43,56,99,10,6,11.3,34,9,0,6,34,22,0,336,12.8,1557,19:58,30,12,164,300,35.3,hugheja03
Mitch Marner,13,2023,25.0,TOR,RW,80,30,69,99,18,28,10.2,17,9,4,4,41,27,1,196,15.3,1702,21:17,45,53,0,4,0.0,marnemi01
Brayden Point,14,2023,26.0,TBL,C,82,51,44,95,2,7,11.2,31,20,0,9,34,10,0,235,21.7,1613,19:40,37,37,417,405,50.7,pointbr01
Tage Thompson,15,2023,25.0,BUF,C,78,47,47,94,4,39,11.1,26,20,1,7,33,14,0,295,15.9,1450,18:35,26,55,350,463,43.1,thompta01
Sidney Crosby,16,2023,35.0,PIT,C,82,33,60,93,8,52,9.6,24,9,0,9,42,18,0,255,12.9,1652,20:09,47,71,978,868,53.0,crosbsi01
Artemi Panarin,17,2023,31.0,NYR,LW,82,29,63,92,4,36,9.1,20,9,0,4,36,27,0,204,14.2,1608,19:36,11,26,6,13,31.6,panarar01
Mika Zibanejad,18,2023,29.0,NYR,C,82,39,52,91,25,20,10.6,18,20,1,5,32,19,1,251,15.5,1637,19:58,48,71,692,706,49.5,zibanmi01
Tim Stützle,19,2023,21.0,OTT,LW,78,39,51,90,-3,54,10.0,26,10,3,3,33,18,0,228,17.1,1659,21:16,49,114,202,284,41.6,stuetti02
William Nylander,20,2023,26.0,TOR,C,82,40,47,87,10,28,10.0,31,9,0,5,28,19,0,293,13.7,1520,18:33,26,18,25,34,42.4,nylanwi01
Clayton Keller,21,2023,24.0,ARI,C,82,37,49,86,-2,49,8.7,30,6,1,4,35,14,0,223,16.6,1702,20:45,34,18,22,41,34.9,kellecl01
Auston Matthews,22,2023,25.0,TOR,C,74,40,45,85,31,20,10.6,27,13,0,8,30,15,0,327,12.2,1501,20:17,92,78,550,499,52.4,matthau01
Steven Stamkos,23,2023,32.0,TBL,C,81,34,50,84,-5,46,8.4,20,14,0,6,29,21,0,240,14.2,1541,19:01,51,92,501,430,53.8,stamkst01
Zach Hyman,24,2023,30.0,EDM,LW,79,36,47,83,13,39,8.9,21,15,0,3,36,11,0,276,13.0,1592,20:09,19,77,6,6,50.0,hymanza01
Evgeni Malkin,25,2023,36.0,PIT,C,82,27,56,83,-12,82,7.6,16,11,0,3,31,25,0,240,11.3,1524,18:35,33,53,422,434,49.3,malkiev01
Brady Tkachuk,26,2023,23.0,OTT,LW,82,35,48,83,-10,126,8.9,24,11,0,6,30,18,0,347,10.1,1528,18:38,9,242,370,395,48.4,tkachbr01
J.T. Miller,27,2023,29.0,VAN,C,81,32,50,82,-7,60,7.5,16,11,5,3,27,19,4,223,14.3,1675,20:41,51,200,487,399,55.0,millejt01
Jeff Skinner,28,2023,30.0,BUF,LW,79,35,47,82,15,39,9.3,27,8,0,3,34,13,0,242,14.5,1374,17:24,14,21,142,158,47.3,skinnje01
Kyle Connor,29,2023,26.0,WPG,LW,82,31,49,80,-11,20,7.5,23,8,0,8,28,21,0,273,11.4,1683,20:32,24,43,2,5,28.6,connoky01
Nico Hischier,30,2023,24.0,NJD,C,81,31,49,80,33,10,9.2,21,7,3,9,36,12,1,256,12.1,1562,19:17,61,34,891,763,53.9,hischni01
John Tavares,31,2023,32.0,TOR,C,80,36,44,80,-7,34,8.5,18,18,0,9,23,21,0,277,13.0,1413,17:39,36,112,726,519,58.3,tavarjo01
Claude Giroux,32,2023,35.0,OTT,C,82,35,44,79,4,34,9.0,28,7,0,6,26,17,1,214,16.4,1541,18:48,30,75,712,509,58.3,giroucl01
Dylan Larkin,33,2023,26.0,DET,C,80,32,47,79,-7,45,8.0,15,16,1,5,32,15,0,244,13.1,1564,19:33,27,47,737,618,54.4,larkidy01
Alex Tuch,34,2023,26.0,BUF,RW,74,36,43,79,14,20,9.0,27,8,1,9,31,12,0,218,16.5,1417,19:09,46,54,32,43,42.7,tuchal01
Aleksander Barkov,35,2023,27.0,FLA,C,68,23,55,78,10,8,7.3,14,8,1,6,32,22,1,208,11.1,1443,21:13,48,52,731,601,54.9,barkoal01
Jamie Benn,36,2023,33.0,DAL,LW,82,33,45,78,23,34,9.5,18,13,2,4,27,17,1,190,17.4,1294,15:47,38,97,520,345,60.1,bennja01
Joe Pavelski,37,2023,38.0,DAL,C,82,28,49,77,42,8,9.3,15,13,0,2,34,14,1,184,15.2,1453,17:43,64,93,368,321,53.4,paveljo01
Quinn Hughes,38,2023,23.0,VAN,D,78,7,69,76,15,34,10.2,5,2,0,0,36,32,1,154,4.5,2002,25:40,71,29,0,0,,hughequ01
Josh Morrissey,39,2023,27.0,WPG,D,78,16,60,76,2,41,11.3,14,2,0,6,34,26,0,172,9.3,1890,24:14,119,89,0,0,,morrijo04
Roope Hintz,40,2023,26.0,DAL,LW,73,37,38,75,31,30,9.9,25,9,3,5,26,12,0,184,20.1,1282,17:33,45,47,249,230,52.0,hintzro01
Kirill Kaprizov,41,2023,25.0,MIN,LW,67,40,35,75,4,45,9.2,23,17,0,6,20,15,0,261,15.3,1415,21:07,28,66,2,3,40.0,kapriki01
Brock Nelson,42,2023,31.0,NYI,C,82,36,39,75,13,24,9.1,30,6,0,8,28,11,0,222,16.2,1512,18:26,43,50,490,547,47.3,nelsobr01
Alex Ovechkin,43,2023,37.0,WSH,LW,73,42,33,75,-16,48,8.5,28,14,0,3,22,11,0,294,14.3,1475,20:12,23,188,4,5,44.4,ovechal01
Johnny Gaudreau,44,2023,29.0,CBJ,LW,80,21,53,74,-33,22,5.7,18,3,0,4,32,21,0,220,9.5,1553,19:25,18,5,0,0,,gaudrjo01
Dougie Hamilton,45,2023,29.0,NJD,D,82,22,52,74,23,50,12.1,14,8,0,7,32,20,0,275,8.0,1786,21:46,86,64,0,0,,hamildo01
