Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
Connor McDavid,1,2021,24,EDM,C,56,33,72,105,21,20,13.0,24,9,0,11,44,28,0,200,16.5,1241,22:09,24,61,316,322,49.5,mcdavco01
Leon Draisaitl,2,2021,25,EDM,C,56,31,53,84,29,22,10.9,15,15,1,8,36,17,0,168,18.5,1243,22:11,12,37,574,457,55.7,draisle01
Brad Marchand,3,2021,32,BOS,LW,53,29,40,69,26,46,9.6,21,4,4,5,23,14,3,143,20.3,1002,18:55,11,66,11,24,31.4,marchbr03
Mitch Marner,4,2021,23,TOR,RW,55,20,47,67,21,20,7.3,20,0,0,5,31,14,2,156,12.8,1233,22:26,41,23,4,1,80.0,marnemi01
Patrick Kane,5,2021,32,CHI,RW,56,15,51,66,-7,14,6.1,12,3,0,3,32,19,0,191,7.9,1245,22:14,15,13,2,5,28.6,kanepa01
Auston Matthews,6,2021,23,TOR,C,52,41,25,66,21,10,9.5,31,10,0,12,22,3,0,222,18.5,1121,21:33,47,57,450,417,51.9,matthau01
Mikko Rantanen,7,2021,24,COL,RW,52,30,36,66,30,34,9.1,21,9,0,7,21,15,0,177,16.9,1036,19:55,20,26,32,32,50.0,rantami01
Nathan MacKinnon,8,2021,25,COL,C,48,20,45,65,22,37,7.7,12,8,0,2,28,17,0,206,9.7,977,20:22,15,38,239,254,48.5,mackina01
Mark Scheifele,9,2021,27,WPG,C,56,21,42,63,-4,12,6.5,17,4,0,4,29,13,0,126,16.7,1174,20:58,38,31,352,355,49.8,scheima01
Sidney Crosby,10,2021,33,PIT,C,55,24,38,62,8,26,7.0,18,5,1,5,21,17,0,159,15.1,1122,20:24,28,44,676,586,53.6,crosbsi01
Jonathan Huberdeau,11,2021,27,FLA,LW,55,20,41,61,12,36,7.1,15,5,0,1,22,19,0,122,16.4,1013,18:25,11,51,17,22,43.6,huberjo01
Mark Stone,12,2021,28,VEG,RW,55,21,40,61,26,28,7.6,14,6,1,8,29,11,0,98,21.4,1048,19:04,33,31,12,18,40.0,stonema01
Aleksander Barkov,13,2021,25,FLA,C,50,26,32,58,12,14,7.3,18,7,1,6,20,12,0,176,14.8,1047,20:56,37,31,563,463,54.9,barkoal01
Artemi Panarin,14,2021,29,NYR,LW,42,17,41,58,14,6,6.8,12,5,0,1,28,13,0,106,16.0,825,19:39,7,13,0,3,0.0,panarar01
