Player,Rk,Year,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,-9999
Sidney Crosby,1,2007,19,PIT,C,79,36,84,120,10,60,13.3,23,13,0,4,36,48,0,250,14.4,1640,20:46,crosbsi01
Joe Thornton,2,2007,27,SJS,C,82,22,92,114,24,44,12.2,12,10,0,5,48,44,0,213,10.3,1666,20:19,thornjo01
Vincent Lecavalier,3,2007,26,TBL,C,82,52,56,108,2,44,13.4,31,16,5,7,32,20,4,339,15.3,1854,22:36,lecavvi01
Dany Heatley,4,2007,26,OTT,RW,82,50,55,105,31,74,13.4,30,17,3,10,32,22,1,310,16.1,1725,21:02,heatlda01
Martin St. Louis*,5,2007,31,TBL,RW,82,43,59,102,7,28,11.8,24,14,5,7,37,16,6,273,15.8,1981,24:09,stlouma01
Marián Hossa*,6,2007,28,ATL,RW,82,43,57,100,18,49,12.4,23,17,3,5,29,27,1,340,12.6,1778,21:41,hossama01
Joe Sakic*,7,2007,37,COL,C,82,36,64,100,2,46,10.8,20,16,0,4,37,27,0,258,14.0,1655,20:11,sakicjo01
Jaromír Jágr,8,2007,34,NYR,RW,82,30,66,96,26,78,11.0,23,7,0,5,32,34,0,324,9.3,1784,21:46,jagrja01
Marc Savard,9,2007,29,BOS,C,82,22,74,96,-19,96,8.7,11,10,1,3,35,39,0,221,10.0,1658,20:13,savarma01
Daniel Brière,10,2007,29,BUF,C,81,32,63,95,17,89,10.0,23,9,0,6,42,21,0,234,13.7,1564,19:19,brierda01
Jarome Iginla*,11,2007,29,CGY,RW,70,39,55,94,12,40,11.1,25,13,1,7,35,20,0,264,14.8,1544,22:04,iginlja01
Teemu Selänne*,12,2007,36,ANA,RW,82,48,46,94,26,82,13.0,23,25,0,10,23,23,0,257,18.7,1451,17:42,selante01
Alex Ovechkin,13,2007,21,WSH,LW,82,46,46,92,-19,52,10.5,30,16,0,8,25,21,0,392,11.7,1754,21:23,ovechal01
Olli Jokinen,14,2007,28,FLA,C,82,39,52,91,18,78,10.8,29,9,1,8,33,19,0,351,11.1,1684,20:32,jokinol01
Daniel Alfredsson*,15,2007,34,OTT,RW,77,29,58,87,42,42,10.0,20,7,2,7,38,18,2,240,12.1,1661,21:35,alfreda01
Pavel Datsyuk,16,2007,28,DET,C,79,27,60,87,36,20,10.5,20,5,2,5,35,24,1,207,13.0,1577,19:57,datsypa01
Jason Spezza,17,2007,23,OTT,C,67,34,53,87,19,45,10.4,20,13,1,5,32,20,1,162,21.0,1292,19:17,spezzja01
Evgeni Malkin,18,2007,20,PIT,LW,78,33,52,85,2,80,9.4,17,16,0,6,28,24,0,242,13.6,1494,19:10,malkiev01
Daniel Sedin*,19,2007,26,VAN,LW,81,36,48,84,19,36,10.7,20,16,0,8,30,18,0,236,15.3,1463,18:04,sedinda01
Thomas Vanek,20,2007,23,BUF,LW,82,43,41,84,47,40,11.6,28,15,0,5,34,7,0,237,18.1,1376,16:47,vanekth01
Andrew Brunette,21,2007,33,COL,LW,82,27,56,83,-8,36,8.2,18,9,0,2,29,27,0,173,15.6,1436,17:31,brunean01
Michael Nylander,22,2007,34,NYR,C,79,26,57,83,12,42,9.0,12,14,0,4,34,23,0,193,13.5,1610,20:23,nylanmi01
Ray Whitney,23,2007,34,CAR,LW,81,32,51,83,-5,46,9.0,26,6,0,6,27,24,0,215,14.9,1515,18:42,whitnra01
Rod Brind'Amour,24,2007,36,CAR,C,78,26,56,82,7,46,8.2,15,9,2,5,32,21,3,181,14.4,1819,23:19,brindro01
Henrik Sedin*,25,2007,26,VAN,C,82,10,71,81,19,66,7.7,9,1,0,2,37,34,0,134,7.5,1511,18:26,sedinhe01
Alex Tanguay,26,2007,27,CGY,LW,81,22,59,81,12,44,8.2,17,5,0,0,43,16,0,107,20.6,1431,17:40,tangual01
Mike Cammalleri,27,2007,24,LAK,C,81,34,46,80,5,48,9.1,18,16,0,5,25,21,0,299,11.4,1462,18:03,cammami01
Vyacheslav Kozlov,28,2007,34,ATL,LW,81,28,52,80,9,36,8.6,20,8,0,8,21,29,2,190,14.7,1660,20:29,kozlovy01
Patrick Marleau,29,2007,27,SJS,C,77,32,46,78,9,33,9.4,18,14,0,9,23,23,0,180,17.8,1429,18:34,marlepa01
Andy McDonald,30,2007,29,ANA,C,82,27,51,78,16,46,8.9,19,8,0,3,26,25,0,252,10.7,1442,17:35,mcdonan01
Paul Stastny,31,2007,21,COL,C,82,28,50,78,4,42,8.1,17,11,0,6,29,20,1,185,15.1,1490,18:10,stastpa01
Kristian Huselius,32,2007,28,CGY,LW,81,34,43,77,21,26,9.4,18,14,2,6,21,20,2,173,19.7,1408,17:23,huselkr01
Daymond Langkow,33,2007,30,CGY,C,81,33,44,77,23,44,9.0,22,10,1,6,25,17,2,247,13.4,1630,20:07,langkda01
Paul Kariya*,34,2007,32,NSH,LW,82,24,52,76,6,36,7.2,19,5,0,2,32,20,0,224,10.7,1671,20:23,kariypa01
Ilya Kovalchuk,35,2007,23,ATL,LW,82,42,34,76,-2,66,9.0,24,18,0,7,20,14,0,336,12.5,1750,21:21,kovalil01
Mats Sundin*,36,2007,35,TOR,C,75,27,49,76,-2,62,7.3,20,6,1,3,21,28,0,321,8.4,1535,20:28,sundima01
Saku Koivu,37,2007,32,MTL,C,81,22,53,75,-21,74,6.9,10,11,1,4,19,32,2,154,14.3,1467,18:07,koivusa01
Alexander Semin,38,2007,22,WSH,LW,77,38,35,73,-7,90,8.8,21,17,0,6,14,21,0,243,15.6,1417,18:24,seminal01
Alex Frolov,39,2007,24,LAK,LW,82,35,36,71,-8,34,7.4,24,10,1,6,16,18,2,195,17.9,1635,19:56,froloal01
Patrice Bergeron,40,2007,21,BOS,C,77,22,48,70,-28,26,5.8,8,14,0,6,22,24,2,224,9.8,1603,20:49,bergepa01
